Source IDs,Source,Citation key,Year,Title,Authors,Journal/Venue,DOI/stable URL,Cit/yr,Study type,Setting / facility,AV/CAV technology,Primary theme,Theme flags,Relevance tier,Control dimension / method,Metrics / congestion mechanism,Lane-changing modeled?,Routing modeled?,Finding / note from upload,Limitations / caveats from upload,Citation detail flags,Deduplication status,Control dimension (standardized),Control method (standardized),Traffic setting (standardized),AV/CAV technology (standardized),Congestion mechanism (standardized),Evaluation metrics (standardized),DOI status,Row audit notes
Undermind #53,Undermind catalog,Gunter et al. 2021,2021,Are Commercially Implemented Adaptive Cruise Control Systems String Stable?,"George Gunter, Derek Gloudemans, Raphael E. Stern, Sean McQuade, Rahul Bhadani, Matt Bunting, Maria Laura Delle Monache, Roman Lysecky, Benjamin Seibold, Jonathan Sprinkle, Benedetto Piccoli, and Daniel B. Work","IEEE Transactions on Intelligent Transportation Systems, 22(11), 6992–7003",https://doi.org/10.1109/TITS.2020.3000682,39,Field experiment; empirical model calibration; string-stability analysis; platoon simulation/validation,Two-vehicle ACC car-following field tests and eight-vehicle homogeneous ACC platoon experiment on road/highway test routes,Commercial SAE Level 1 ACC vehicles,Longitudinal control,Longitudinal control; ACC string instability; Stop-and-go wave formation; Negative or mixed effects,Tier 2,Longitudinal ACC behavior assessment using calibrated second-order delay differential car-following models and string-stability analysis,String instability and phantom-jam mechanism; speed disturbance amplification; speed/spacing MSE; inter-vehicle spacing; ACC disengagement threshold,No,No,"Gunter et al. (2021) tested seven commercially available 2018 ACC vehicle models using more than 1,200 miles of car-following data and calibrated delay-differential car-following models. All tested ACC systems were string unstable, and an eight-vehicle platoon experiment amplified a 6 mph lead-vehicle disturbance to a 25 mph disturbance, causing the final ACC vehicle to disengage; this provides direct evidence that current commercial ACC can worsen disturbance propagation rather than damp stop-and-go waves.",Empirical evidence is limited to seven 2018 models from two makes and selected min/max following settings; ACC logic is black-box and approximated by fitted models; no direct network-scale congestion mitigation test; authors note higher-fidelity models and comparisons with human drivers are future work.,Study details verified; DOI verified; year corrected from catalog metadata to journal issue year,Kept / merged unique record,Longitudinal,ACC/CACC; Empirical calibration; String-stability analysis,ACC platoon / car-following field test; single-lane platoon,Commercial ACC,Stop-and-go waves / flow stability; String instability; Phantom jams,string stability/wave damping; speed disturbance amplification; speed/spacing error; ACC disengagement,present,publication year standardized to 2021 based on journal issue metadata.
Undermind #54,Undermind catalog,Chenguang Zhao 2023,2023,Safety-critical traffic control by connected automated vehicles,Chenguang Zhao; Huan Yu; Tamas G. Molnar,Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2023.104230,14,Analytical/modeling + numerical simulation with real trajectory input,single-lane mixed-autonomy vehicle chain; CAV following head HV and leading following HVs/CHV,CAV; V2V connectivity; partial-state feedback via connected human-driven vehicle,Longitudinal control,Direct bottleneck/congestion mitigation; Longitudinal control; Safety-critical control; Stop-and-go wave damping; String stability,Tier 1,Longitudinal control; safety-critical traffic control; control barrier functions; quadratic-program safety filter; observer-based CBF; leading cruise control / connected traffic control,string instability; stop-and-go oscillations; spacing; velocity; acceleration; CBF safety functions; head-to-tail string stability; TH/TTC/SDH safety policies; collision avoidance,No,No,"Zhao et al. (2023) studied a CBF-based safety filter for CAV longitudinal traffic control in a single-lane mixed-autonomy chain. The study showed that STC can maintain collision-free behavior while preserving the stabilizing benefits of a nominal traffic-smoothing controller, including simulations driven by real NGSIM head-vehicle trajectories.",Simulation-only evidence; simplified single-lane setting; following HVs modeled with car-following assumptions; lateral lane-changing/cut-in dynamics are outside scope; safety constraints can sacrifice string stability when safety and stability conflict.,Study details verified from the published study; published version verified; original arXiv venue corrected to journal version,Kept / merged unique record,Longitudinal,Safety-critical control; CBF; quadratic programming; observer-based control; LCC/CTC,single-lane mixed traffic; vehicle chain; freeway/highway longitudinal flow,CAV; V2V; partial connectivity,Stop-and-go waves / flow stability; String instability; Safety-stability tradeoff,speed/stability; string stability/wave damping; safety/risk; spacing/headway,present,Evidence quality: Study details verified. Strong synthesis example for safety layer in CAV-based traffic smoothing.
Undermind #55,Undermind catalog,Yu Bai 2021,2021,A motion planner enabling cooperative lane changing: Reducing congestion under partially connected and automated environment,Yu Bai; Yu Zhang; Jia Hu,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",https://doi.org/10.1080/15472450.2020.1820332,2.9,Analytical/modeling + simulation/case study with sensitivity analysis,two-lane lane-changing scenario; receiving-gap preparation; partially connected and automated environment,"CAVs with V2V communication and longitudinal automation; CLC-1 uses vehicles D and E; CLC-2 uses vehicles C, D, and E",Lateral/lane-changing control,Direct bottleneck/congestion mitigation; Lateral/lane-changing control; Cooperative merging/platooning; MPC/optimal control; Shockwave/oscillation reduction,Tier 1,Cooperative lane-changing control; longitudinal cooperative gap creation; model predictive control solved by dynamic-programming-based numerical method,lane-changing friction; shockwaves from cut-in/gap creation; traffic oscillation; minimum speed; fuel consumption; CO2/HC/CO/NOx emissions; computation time,Yes,No,"Bai et al. (2021) studied cooperative lane-changing motion planning using longitudinal CAV control to enlarge the receiving gap before a lane change. The study reported traffic-oscillation reductions of 0.1%–9.4%, fuel-efficiency gains up to 6.72%, emissions reductions up to 36.41%, and 17–21 ms computation time, but benefits depended strongly on initial receiving-gap headway.",Simulation-only comparison against IDM/polite human baseline; steering/lateral dynamics are not modeled; controller currently assumes CAV participation and does not work directly with conventional vehicles; following-vehicle oscillation benefit is not always guaranteed and depends on initial gap.,Study details verified from the published study; citation year corrected to journal volume year 2021 while DOI remains 2020 online DOI,Kept / merged unique record,Lateral; Cooperative; Longitudinal,MPC; dynamic programming; cooperative lane-change motion planning,lane-changing; merge/receiving gap; two-lane arterial/freeway-like segment,CAV; V2V; longitudinal automation; partial connectivity,Lane-changing friction / gaps; Shockwaves / traffic oscillation,speed/stability; fuel/emissions/energy; computation time,present,Evidence quality: Study details verified. Useful for lateral/cooperative-control taxonomy because it targets lane-change-induced shockwaves rather than only maneuver feasibility.
Undermind #56,Undermind catalog,Filip Vrbanić 2021,2021,Variable Speed Limit and Ramp Metering for Mixed Traffic Flows: A Review and Open Questions,Filip Vrbanić; Edouard Ivanjko; Krešimir Kušić; Dino Cakija,Applied Sciences,https://doi.org/10.3390/app11062574,11,Review/survey,urban motorways; freeway bottlenecks; ramp merging areas; mixed traffic flows,AVs and CAVs in mixed traffic; V2V/V2I/V2X-enabled compliance with VSL and merging-control strategies,Traffic management / VSL and ramp metering,Longitudinal control; Cooperative merging/platooning; Review/survey; VSL/speed control; Ramp metering; Reinforcement learning,Tier 2,Variable speed limits; ramp metering; merging control; classical feedback/control; MPC; optimization; RL/DRL approaches,bottleneck activation; capacity drop; shockwave propagation; ramp-merging turbulence; speed heterogeneity; TT/TTT/TTS; LoS; speed; density; flow; delay; throughput; safety; fuel/emissions,Varies/unclear,Varies/unclear,"Vrbanić et al. (2021) reviewed VSL and ramp-metering/merging-control strategies for mixed AV/CAV traffic on urban motorways. The review found that VSL and RM can mitigate bottleneck congestion and capacity-drop effects, while mixed traffic creates new opportunities through AV/CAV compliance and connectivity, but also open issues around penetration rate, communication reliability, and controller coordination.","Review only, with no new simulation or field validation; literature search limited to English online papers from January 2010 to October 2020 in Scopus, IEEE, and Web of Science; focuses on VSL/RM and merging control rather than vehicle-level AV control alone.",Study details verified from the published study; DOI and open-access version verified,Kept / merged unique record,Longitudinal; Cooperative,Review/survey; VSL; ramp metering; merging control; MPC; optimization; RL/DRL,urban motorway; freeway bottleneck; ramp merge; mixed traffic,AV; CAV; V2V/V2I/V2X; mixed traffic,Bottleneck activation/throughput; Capacity drop; Shockwaves; Merging turbulence; Speed heterogeneity,delay/travel time/queue; speed/stability; throughput/flow; density/LoS; safety/risk; fuel/emissions/energy,present,Evidence quality: Study details verified. Good synthesis source for positioning AV/CAV congestion mitigation within motorway VSL/RM and mixed-traffic control.
Undermind #57,Undermind catalog,Lin Liu 2024,2024,Reinforcement-Learning-Based Multilane Cooperative Control for On-Ramp Merging in Mixed-Autonomy Traffic,"Lin Liu, Xiaoxuan Li, Yongfu Li, Jingxiang Li, and Zhongyang Liu",IEEE Internet of Things Journal,https://doi.org/10.1109/JIOT.2024.3447039,10,Simulation; MARL control framework,multilane freeway on-ramp merging in mixed-autonomy traffic; SUMO/FLOW simulated single-lane and three-lane ramp scenarios,CAVs with V2V/V2I/RSU information; mixed CAV/HDV traffic; graph-based cooperative decision control,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Cooperative merging/platooning; RL/MARL; Lateral/merging,Tier 1,Lateral lane-changing/cooperative merging; graph convolutional PPO multi-agent reinforcement learning (GCAV-CPO),"Merge bottleneck and lane-changing friction; evaluated with fuel consumption, CO2 emissions, travel time, TTC, reward, traffic pressure modes, and CAV penetration rates",Yes,No/unclear,"Liu et al. (2024) proposed GCAV-CPO, a graph-convolutional PPO/MARL controller for CAV lane-change decisions in multilane on-ramp merging under mixed autonomy. The study reported better traffic efficiency, safety, and energy/emissions outcomes than D3QN, PPO, and GCQ across traffic-pressure modes and CAV penetration rates, using travel time, fuel consumption, CO2, and TTC as metrics.",Simulation-only evidence in a stylized SUMO/FLOW ramp environment; assumes perfect V2X communication with no packet loss or delay; no field validation; congestion improvement is inferred mainly from travel-time/energy/safety metrics rather than explicit capacity-drop or queue-discharge measures.,Published study; DOI verified,Kept / merged unique record,Lateral/merging; Cooperative,Graph MARL; PPO; GCN; cooperative lane-changing reward,Multilane freeway on-ramp merge; mixed traffic,CAVs with V2V/V2I; HDVs,Merge bottleneck; lane-changing friction; merging turbulence; travel-time delay,Fuel consumption; CO2 emissions; travel time; TTC; reward; CAV penetration-rate sensitivity,present,Enriched from the published study
Undermind #58,Undermind catalog,M. Wang 2016,2016,Cooperative Car-Following Control: Distributed Algorithm and Impact on Moving Jam Features,"M. Wang, W. Daamen, S. Hoogendoorn, and B. Arem",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2015.2505674,15,Control algorithm development; microscopic simulation impact study,two-lane freeway with temporary VSL-induced bottleneck and moving jams; mixed traffic with CFC/C-CFC penetration rates,Autonomous car-following control (CFC) and cooperative CFC (C-CFC) vehicles using sensors and V2V communication,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Cooperative merging/platooning; Stop-and-go wave damping; Capacity drop,Tier 1,Longitudinal car-following; receding-horizon/model predictive control with decentralized CFC and distributed cooperative C-CFC algorithms,"Moving jam formation/propagation and capacity drop; evaluated with TTS, average outflow, jam area, jam flow/speed, jam-head velocity, cross-lane speed difference, and fuel consumption",Yes,No/unclear,"Wang et al. (2016) developed decentralized CFC and distributed cooperative C-CFC receding-horizon controllers and tested them in a two-lane freeway bottleneck simulation. The study found that CFC mitigated capacity drop and reduced jam size/fuel consumption, while C-CFC damped stop-and-go waves and at 10% penetration prevented persistent waves in the tested bottleneck, measured with outflow, TTS, jam area, jam speed/flow, jam propagation, and fuel consumption.",Simulation-only evidence with a temporary speed-limit bottleneck rather than a geometric merge; assumes perfect sensors/V2V and negligible communication delay; controls only longitudinal motion while lane-changing remains human-driven; results may differ for other bottleneck types and real traffic.,Published study; DOI verified,Kept / merged unique record,Longitudinal,Receding-horizon/MPC; distributed cooperative car-following control; decentralized CFC,Two-lane freeway bottleneck; mixed traffic,CFC/C-CFC; V2V cooperative vehicles; human-driven vehicles,Stop-and-go waves; moving jam propagation; capacity drop; bottleneck discharge,TTS; average outflow; jam area; jam flow/speed; jam-head velocity; cross-lane speed difference; fuel consumption,present,Enriched from the published study
Undermind #59,Undermind catalog,Anastasia Spiliopoulou 2018,2018,Adaptive Cruise Control Operation for Improved Motorway Traffic Flow,"Anastasia Spiliopoulou, Diamantis Manolis, Foteini Vandorou, and M. Papageorgiou",Transportation Research Record,https://doi.org/10.1177/0361198118796020,4.9,ACC-based traffic control strategy; calibrated microscopic simulation,real A20 motorway stretch in the Netherlands; recurrent on-ramp bottleneck congestion; mixed manual/ACC traffic,Connected ACC-equipped vehicles with dynamically adjusted time-gap settings via infrastructure/traffic-management-center decisions,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; ACC/CACC; Capacity-drop reduction,Tier 1,Longitudinal ACC time-gap control; real-time feedback strategy using section flow and speed,"On-ramp bottleneck, congestion onset delay/prevention, capacity increase, and capacity-drop/discharge-flow mitigation; evaluated with AVD, TFC, capacity flow, discharge flow, and speed contour diagrams",No/unclear,No/unclear,"Spiliopoulou et al. (2018) studied a real-time connected-ACC time-gap control strategy on a calibrated AIMSUN model of the A20 motorway on-ramp bottleneck. The complete strategy reduced average vehicle delay and fuel consumption even at low ACC penetration and, at 60% penetration, avoided congestion in all replications, measured using AVD, TFC, capacity flow, discharge flow, and speed contour plots.",Simulation-only evidence; ACC dynamics are represented with IDM and only the time-gap setting is dynamically adapted; assumes connected ACC/V2I operation and no field deployment; quantitative gains may change with real ACC implementations and other sites.,Published study; DOI verified,Kept / merged unique record,Longitudinal,Real-time ACC time-gap feedback control; infrastructure-based speed/flow strategy,Freeway/motorway on-ramp bottleneck; mixed manual/ACC traffic,Connected ACC-equipped vehicles; manual vehicles,Congestion onset; bottleneck activation; capacity drop; queue discharge; space-time congestion extent,Average vehicle delay; total fuel consumption; capacity flow; discharge flow; ACC time-gap intervention time; spatiotemporal speed,present,Enriched from the published study
Undermind #60,Undermind catalog,Vasileios Markantonakis 2019,2019,Integrated Traffic Control for Freeways using Variable Speed Limits and Lane Change Control Actions,"Vasileios Markantonakis, Dimitrios Ilias Skoufoulas, Ioannis Papamichail, and Markos Papageorgiou",Transportation Research Record,https://doi.org/10.1177/0361198119846476,2.3,Microscopic simulation / feedback-control evaluation,freeway lane-drop bottleneck; hypothetical freeway corridor,VACS; connected vehicles,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Lateral/lane-changing control; VSL/speed control,Tier 1,Integrated VSL mainstream traffic flow control plus lane-changing control; PI feedback for VSL; LQ/LQR feedback-feedforward LCC,capacity drop; bottleneck throughput; TTT; speed; density; outflow; penetration rate,Yes,No/unclear,"Markantonakis et al. (2019) studied integrated mainstream traffic-flow control via VSL and lane-changing control using connected vehicles in a microscopic Aimsun lane-drop bottleneck. The study found that VSL avoided capacity drop and LCC improved lane assignment/capacity, with the integrated strategy reducing TTT and maintaining higher outflow even at low connected-vehicle penetration, but the evidence is simulation-only.",Hypothetical lane-drop network; assumes full compliance of connected vehicles and no communication delays; results depend on microscopic model assumptions and limited bottleneck layout; field validation not included.,DOI verified in published study; Study details verified,Kept / merged unique record,Longitudinal; Lateral/lane-changing,VSL/speed control; Lane-changing control; PI feedback; LQR/feedback-feedforward,lane-drop bottleneck; freeway bottleneck; freeway segment/corridor,VACS; connected vehicles,Capacity drop; Bottleneck activation/throughput; Lane-changing friction / lane imbalance,TTT/travel time; throughput/outflow; speed; density; capacity drop; penetration rate,present,Study details verified; upgraded from needs verification and Tier 2 to Tier 1 because it directly targets bottleneck throughput and capacity-drop mitigation.
Undermind #61,Undermind catalog,Tianyi Chen 2021,2021,Connected and automated vehicle distributed control for on-ramp merging scenario: A virtual rotation approach,"Tianyi Chen, Meng Wang, Siyuan Gong, Yang Zhou, and Bin Ran",Transportation Research Part C,https://doi.org/10.1016/j.trc.2021.103451,17,Analytical/modeling; numerical simulation,on-ramp merge; merging control area; pure CAV environment,CAV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Cooperative merging/platooning; Lateral/lane-changing control; Longitudinal control; String stability,Tier 1,Virtual rotation / virtual car-following formulation; distributed cooperative longitudinal feedback-feedforward control; multi-leader communication topology; ELQR lateral control,merging voids; traffic oscillations; string stability; spacing/speed/acceleration trajectories; L2 norm energy; lateral/angular/steering deviation,Yes,No/unclear,"Chen et al. (2021) proposed a virtual-rotation CAV cooperative merging controller that converts on-ramp merging into a virtual car-following problem with distributed longitudinal control and local lateral control. Numerical simulations showed reduced merging voids and attenuation of traffic oscillations/string instability, measured by speed, acceleration, spacing, L2-norm energy, and lateral-deviation metrics, but the study is limited to a pure CAV, simulation-based setting.","Pure CAV environment; one mainline lane and one ramp lane; assumes intelligent infrastructure, negligible communication delays, FIFO sequencing, and second-order vehicle dynamics; limited empirical/field validation.",Published version verified from the published study; venue corrected from ArXiv to Transportation Research Part C; Study details verified,Kept / merged unique record,Longitudinal; Lateral/lane-changing; Cooperative,Distributed feedback-feedforward control; Virtual car-following / virtual rotation; Cooperative merging; ELQR lateral control; String-stability analysis,on-ramp merge; merge/merging area,CAV,Merging voids; Traffic oscillations/string instability; Merging turbulence; Bottleneck activation/throughput,speed/stability; acceleration; spacing error; L2 norm/string stability; lateral/angular deviation,present,"Study details verified; DOI corresponds to published TRC article, not just ArXiv preprint."
Undermind #62,Undermind catalog,Mladen Čičić 2022,2022,Platoon-actuated variable area mainstream traffic control for bottleneck decongestion,"Mladen Čičić, Cecilia Pasquale, Silvia Siri, Simona Sacone, and Karl Henrik Johansson",European Journal of Control,https://doi.org/10.1016/j.ejcon.2022.100687,3.6,Analytical/modeling; macroscopic CTM simulation; predictive-control evaluation,freeway bottleneck; stationary bottleneck; 20-km three-lane freeway simulation,CAV truck platoons,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Cooperative merging/platooning; Longitudinal control; Mainstream traffic control,Tier 1,Platoon-actuated mainstream traffic control; predictive control; variable-length controlled area; moving-bottleneck / tandem-queueing model,bottleneck decongestion; capacity drop; queue length; TTS; relative delay; computation time; outflow/throughput,No explicit lane-changing; platoon lane-occupation/configuration controlled,No/unclear,"Čičić et al. (2022) studied platoon-actuated mainstream traffic control in which CAV truck platoons regulate speed and lane occupation upstream of a freeway bottleneck using a prediction-based variable-area controller. Macroscopic simulations showed that the method eliminated roughly 60–80% of congestion delay relative to no control, measured using TTS, relative delay, and computation time, while the variable-area version reduced computational burden with similar performance.",Macroscopic simulation only; assumes availability of platoons and complete traffic/platoon state information; microscopic validation remains future work; control creates moderate upstream controlled congestion and may benefit from integration with ramp metering.,DOI verified in published study; Study details verified,Kept / merged unique record,Cooperative; Longitudinal,Platooning; Predictive control; Moving bottleneck control; Mainstream traffic control; CTM/tandem queueing,freeway bottleneck; stationary bottleneck; freeway segment/corridor,CAV truck platoons,Bottleneck activation/throughput; Capacity drop; Queue formation/discharge,TTS/travel time; relative delay; queue/congestion; throughput/outflow; computation time,present,Study details verified; upgraded from Tier 2 to Tier 1 because it directly evaluates bottleneck decongestion and delay reduction.
Undermind #63,Undermind catalog,Sicong Guo 2022,2022,Connected Cruise and Traffic Control for Pairs of Connected Automated Vehicles,"Sicong Guo, Gábor Orosz, and Tamas G. Molnar",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2023.3285852,6.2,Analytical/modeling; simulation,single-lane mixed traffic car-following corridor,CAV; AV; HV mixed traffic,Longitudinal traffic smoothing / string-stability control,Direct bottleneck/congestion mitigation; Longitudinal control; Cooperative control; String stability / wave damping,Tier 1,Connected cruise and traffic control for paired CAVs; stability-based longitudinal cooperative control,stop-and-go wave / string instability mitigation; speed fluctuation attenuation; CAV penetration effects,No,No,"Guo et al. studied connected cruise and traffic control for pairs of CAVs in mixed traffic, where two communicating CAVs regulate their longitudinal motion while stabilizing the human-driven vehicles between them. Simulations showed that CAV pairs can mitigate stop-and-go congestion and achieve head-to-tail string stability at lower penetration than disconnected ACC vehicles, measured using speed fluctuation and string-stability metrics.","Simulation and analytical stability study only; assumes single-lane car-following, selected human-driver models, and no formal safety guarantee for the controller; lane-changing, bottleneck geometry, and field validation are not addressed.",Study details verified from the published study; DOI verified in the published study,Kept / merged unique record,Longitudinal; Cooperative,Connected cruise control; Connected traffic control; Car-following/string-stability control,freeway/highway segment; single-lane mixed traffic,CAV; AV; HV mixed traffic,Stop-and-go waves / flow stability; String instability,speed/stability; string stability/wave damping,present,
Undermind #64,Undermind catalog,Chengying Hua 2023,2023,Dynamic speed harmonization for mixed traffic flow on the freeway using deep reinforcement learning,Chengying Hua and Wei (David) Fan,IET Intelligent Transport Systems,https://doi.org/10.1049/itr2.12429,3.8,DRL simulation/benchmark,freeway weaving area / freeway segment,CAV; HDV mixed traffic; V2X-enabled speed harmonization,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; RL/MARL; Speed harmonization; Mixed traffic,Tier 1,Dynamic speed harmonization using DDPG deep reinforcement learning; lane-differentiated VSL/DSH,bottleneck speed smoothing; shockwave and speed oscillation damping; mobility safety and emissions impacts,Yes - default SUMO lane-changing model only; lane changing not controlled,No,"Hua and Fan studied DRL-based dynamic speed harmonization for mixed HDV-CAV freeway traffic near a weaving bottleneck. The study found that CAV-powered DSH improved safety and mean travel time and smoothed bottleneck speed variations, while environmental benefits appeared mainly at higher CAV penetration rates, measured using accumulated emergency deceleration, mean travel time, CO2, CO, fuel consumption, and spatiotemporal speed patterns.","Simulation-only SUMO case study on a 2 km I-80 segment; uses a single-agent controller, assumed CAV/HDV behavior and headways, and no real-world deployment; sustainability trade-offs occur at low CAV penetration rates.",Study details verified from the published study; DOI verified in the published study,Kept / merged unique record,Longitudinal,RL/MARL; DDPG; Speed harmonization / VSL,freeway segment/corridor; weaving area; bottleneck,CAV; HDV mixed traffic,Bottleneck activation/throughput; Stop-and-go waves / flow stability; Speed breakdown / shockwaves,speed/stability; safety/risk; travel time; fuel/emissions/energy,present,
Undermind #65,Undermind catalog,Shoucai Jing 2022,2022,Integrated Longitudinal and Lateral Hierarchical Control of Cooperative Merging of Connected and Automated Vehicles at On-Ramps,"Shoucai Jing, Fei Hui, Xiangmo Zhao, Jackeline Rios-Torres, and Asad J. Khattak",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2022.3204033,12,Control design; CarSim/Simulink co-simulation,on-ramp merge; single-lane mainline and single-lane ramp control zone,CAV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Lateral/lane-changing control; Cooperative merging/platooning,Tier 1,Hierarchical decentralized cooperative merging control; upper-level optimal longitudinal control; lower-level PI speed tracking and DNMPC lateral tracking/collision avoidance,merging conflict reduction; traffic efficiency; fuel consumption; smooth speed/trajectory tracking; lateral collision avoidance,Yes,No,"Jing et al. studied integrated longitudinal and lateral hierarchical cooperative merging control for CAVs at on-ramps. The CarSim/Simulink case studies showed safe smooth merging, no stop-and-go behavior in the tested cases, real-time feasible DNMPC computation, and fuel-consumption reductions of 21.9% and 3.9% versus baseline scenarios, measured using trajectories, speed/acceleration profiles, tracking error, computation time, and fuel consumption.","Simulation-only validation with limited vehicle counts and CAV-only/high-automation assumptions; does not model mixed traffic, communication uncertainty, or information interference; lower-level acceleration/jerk tracking and passenger comfort remain unresolved.",Study details verified from the published study; DOI verified in the published study,Kept / merged unique record,Longitudinal; Lateral/merging; Cooperative,Optimization/optimal control; NMPC; PI control; Cooperative merging,on-ramp merge; merge/merging area,CAV,Bottleneck activation/throughput; Lane-changing friction / gaps; Merging turbulence,speed/stability; fuel/emissions/energy; tracking error; safety/collision avoidance; computation time,present,
Undermind #66,Undermind catalog,Ye Li 2023,2023,Developing a Dynamic Speed Control System for Mixed Traffic Flow to Reduce Collision Risks Near Freeway Bottlenecks,"Ye Li, Bin Pan, Zhibin Chen, and Lu Xing",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2023.3287269,10,Simulation; control algorithm design,two-lane freeway bottleneck; freeway segment/corridor,CAV; mixed CAV-HDV traffic; V2V/V2I communication,Direct bottleneck/congestion mitigation,Longitudinal control; Lateral/lane-changing control; Safety/risk; Direct bottleneck/congestion mitigation,Tier 1,CAV dynamic speed control; dynamic deceleration moving-barrier control; uniform lane-changing strategy,Shock-wave/bottleneck slowdown; collision risk; TET; TIT; mean travel time; CAV MPR; communication range,Yes,No/unclear,"Li et al. (2023) developed a CAV-based dynamic speed control system near freeway bottlenecks using proactive dynamic deceleration to form moving barriers and a uniform lane-changing strategy to distribute CAVs across lanes. The simulations showed reduced collision risk measured by TET/TIT and improved or weakly affected mean travel time, with uniform lane-changing further improving the dynamic deceleration strategy.","Simulation-only evidence in a simplified two-lane bottleneck; assumes controlled CAV compliance, instantaneous lane changes, fixed bottleneck speed reduction, and no field validation.",Study details verified; DOI verified,Kept / merged unique record,Longitudinal; Lateral/merging; Cooperative,Dynamic speed control; CAV moving-barrier control; lane-changing optimization; Q-learning / simulated annealing / enumeration,freeway bottleneck; freeway segment/corridor,CAV; mixed CAV-HDV traffic,Bottleneck activation/throughput; Stop-and-go waves / flow stability; Safety/collision risk; Lane-changing friction / gaps,safety/risk; delay/travel time/queue; speed/stability,present,Enriched from the published study
Undermind #67,Undermind catalog,Xiaoyu Liu 2024,2024,Decentralized Hierarchical Trajectory Programming for Mixed Traffic Flow at the Tunnel Entrance Bottleneck Area,"Xiaoyu Liu, Min Zhao, Liuping Wang, Dihua Sun, and Yicai Zhang",IEEE Transactions on Vehicular Technology,https://doi.org/10.1109/TVT.2024.3423443,1.3,Simulation; trajectory optimization; control algorithm design,tunnel entrance bottleneck; lane-drop bottleneck; mixed traffic,CAV; mixed CAV-HV traffic; V2X; RSU-supported sensing,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Lateral/lane-changing control; Longitudinal control; Cooperative trajectory control,Tier 1,Decentralized hierarchical trajectory programming; LV-MCTS lane-change sequencing; MILP longitudinal acceleration optimization,Lane-drop bottleneck congestion; tunnel entrance speed-limit transition; average travel time; fuel efficiency/consumption; vehicle count at bottleneck; CAV penetration rate; time-delay degradation,Yes,No/unclear,"Liu et al. (2024) proposed a decentralized hierarchical CAV trajectory-programming framework for mixed traffic at a tunnel entrance lane-drop bottleneck, combining LV-MCTS for lane-change decisions with MILP for longitudinal acceleration profiles. SUMO-based numerical studies showed reduced congestion, average travel time, and fuel consumption for CAVs, HVs, and mixed traffic, but performance degraded under communication/data delay.","Simulation-only evidence for a stylized tunnel entrance bottleneck; relies on V2X/RSU state availability, simplified vehicle assumptions, SUMO/IDM behavior models, limited benchmark comparability, and no field validation.",Study details verified; DOI verified,Kept / merged unique record,Longitudinal; Lateral/merging; Cooperative,Trajectory optimization; LV-MCTS; MILP; decentralized control,tunnel entrance bottleneck; lane-drop bottleneck; freeway bottleneck,CAV; mixed CAV-HV traffic,Bottleneck activation/throughput; Queueing/delay; Lane-changing friction / gaps; Stop-and-go waves / flow stability,delay/travel time/queue; fuel/energy/emissions; throughput/capacity; speed/stability,present,Enriched from the published study
