reference_number,match_status,manuscript_reference,citation_key,matrix_title,doi_or_stable_url,application_codes,note
18,matched to uploaded coded matrix,"Elmorshedy, L., Smirnov, I., & Abdulhai, B. (2023). Freeway congestion management with reinforcement learning headway control of connected and autonomous vehicles. Transportation Research Record. https://doi.org/10.1177/03611981231152459",Elmorshedy et al. 2023,Freeway Congestion Management With Reinforcement Learning Headway Control of Connected and Autonomous Vehicles,https://doi.org/10.1177/03611981231152459,speed_harmonization_dynamic_headway_bottleneck_inflow,
19,matched to uploaded coded matrix,"Ghiasi, A., Li, X., & Ma, J. (2019). A mixed traffic speed harmonization model with connected autonomous vehicles. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2019.05.005",A. Ghiasi 2019,A mixed traffic speed harmonization model with connected autonomous vehicles,https://doi.org/10.1016/j.trc.2019.05.005,speed_harmonization_dynamic_headway_bottleneck_inflow,
20,matched to uploaded coded matrix,"Goñi-Ros, B., Knoop, V. L., Takahashi, T., Sakata, I., van Arem, B., & Hoogendoorn, S. P. (2016). Optimization of traffic flow at freeway sags by controlling the acceleration of vehicles equipped with in-car systems. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2016.06.022",Goñi-Ros et al. 2016,Optimization of traffic flow at freeway sags by controlling the acceleration of vehicles equipped with in-car systems,https://doi.org/10.1016/j.trc.2016.06.022,speed_harmonization_dynamic_headway_bottleneck_inflow,
21,matched to uploaded coded matrix,"Goñi-Ros, B., Schakel, W. J., Papacharalampous, A. E., Wang, M., Knoop, V. L., Sakata, I., van Arem, B., & Hoogendoorn, S. P. (2019). Using advanced adaptive cruise control systems to reduce congestion at sags: An evaluation based on microscopic traffic simulation. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2019.02.021",Bernat Goñi-Ros 2019,Using advanced adaptive cruise control systems to reduce congestion at sags: An evaluation based on microscopic traffic simulation,https://doi.org/10.1016/j.trc.2019.02.021,speed_harmonization_dynamic_headway_bottleneck_inflow; traffic_smoothing_mobile_actuator,
22,matched to uploaded coded matrix,"Gu, Z., Wang, Z., Liu, Z., & Saberi, M. (2022). Network traffic instability with automated driving and cooperative merging. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2022.103626",Ziyuan Gu 2022,Network traffic instability with automated driving and cooperative merging,https://doi.org/10.1016/j.trc.2022.103626,cooperative_merging_gap_creation_ramp_coordination; routing_dta_managed_lane_operation,
23,matched to uploaded coded matrix,"Gunter, G., Gloudemans, D., Stern, R. E., McQuade, S., Bhadani, R., Bunting, M., Delle Monache, M. L., Lysecky, R., Seibold, B., Sprinkle, J., Piccoli, B., & Work, D. B. (2021). Are commercially implemented adaptive cruise control systems string stable? IEEE Transactions on Intelligent Transportation Systems, 22(11), 6992–7003. https://doi.org/10.1109/TITS.2020.3000682",Gunter et al. 2021,Are Commercially Implemented Adaptive Cruise Control Systems String Stable?,https://doi.org/10.1109/TITS.2020.3000682,traffic_smoothing_mobile_actuator,
24,matched to uploaded coded matrix,"Guo, Y., Ma, J., Leslie, E., & Huang, Z. (2022). Evaluating the effectiveness of integrated connected automated vehicle applications applied to freeway managed lanes. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2020.3012678",Guo et al. 2022,Evaluating the Effectiveness of Integrated Connected Automated Vehicle Applications Applied to Freeway Managed Lanes,https://doi.org/10.1109/TITS.2020.3012678,cooperative_merging_gap_creation_ramp_coordination; platooning; routing_dta_managed_lane_operation; speed_harmonization_dynamic_headway_bottleneck_inflow,
25,matched to uploaded coded matrix,"Guo, Y., Xu, H., Zhang, Y., & Yao, D. (2020). Integrated variable speed limits and lane-changing control for freeway lane-drop bottlenecks. IEEE Access. https://doi.org/10.1109/ACCESS.2020.2981658",Yuqing Guo 2020,Integrated Variable Speed Limits and Lane-Changing Control for Freeway Lane-Drop Bottlenecks,https://doi.org/10.1109/ACCESS.2020.2981658,integrated_longitudinal_lateral_bottleneck_control; speed_harmonization_dynamic_headway_bottleneck_inflow,
26,matched to uploaded coded matrix,"Ha, P., Chen, S., Dong, J., & Labi, S. (2025). Leveraging vehicle connectivity and autonomy for highway bottleneck congestion mitigation using reinforcement learning. Transportmetrica A: Transport Science, 21(1), Article 2215338. https://doi.org/10.1080/23249935.2023.2215338",Ha 2023,Leveraging vehicle connectivity and autonomy for highway bottleneck congestion mitigation using reinforcement learning,https://doi.org/10.1080/23249935.2023.2215338,speed_harmonization_dynamic_headway_bottleneck_inflow,
27,matched to uploaded coded matrix,"Han, Y., & Ahn, S. (2020). Variable speed release (VSR): Speed control to increase bottleneck capacity. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2019.2891314",Youngjun Han 2020,Variable Speed Release (VSR): Speed Control to Increase Bottleneck Capacity,https://doi.org/10.1109/TITS.2019.2891314,speed_harmonization_dynamic_headway_bottleneck_inflow,
28,matched to uploaded coded matrix,"Han, Y., Wang, M., He, Z., Li, Z., Wang, H., & Liu, P. (2021). A linear Lagrangian model predictive controller of macro- and micro-variable speed limits to eliminate freeway jam waves. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2021.103121",Yu Han 2021,A linear Lagrangian model predictive controller of macro- and micro- variable speed limits to eliminate freeway jam waves,https://doi.org/10.1016/j.trc.2021.103121,speed_harmonization_dynamic_headway_bottleneck_inflow; traffic_smoothing_mobile_actuator,
29,matched to uploaded coded matrix,"Hou, K., Zheng, F., Liu, X., & Guo, G. (2023). Cooperative on-ramp merging control model for mixed traffic on multi-lane freeways. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2023.3274586",Kangning Hou 2023,Cooperative On-Ramp Merging Control Model for Mixed Traffic on Multi-Lane Freeways,https://doi.org/10.1109/TITS.2023.3274586,cooperative_merging_gap_creation_ramp_coordination; integrated_longitudinal_lateral_bottleneck_control,
30,matched to uploaded coded matrix,"Hu, X., & Sun, J. (2019). Trajectory optimization of connected and autonomous vehicles at a multilane freeway merging area. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2019.02.016",Hu 2019,Trajectory optimization of connected and autonomous vehicles at a multilane freeway merging area,https://doi.org/10.1016/j.trc.2019.02.016,cooperative_merging_gap_creation_ramp_coordination; integrated_longitudinal_lateral_bottleneck_control,
31,matched to uploaded coded matrix,"Hua, C., & Fan, W. D. (2023). Dynamic speed harmonization for mixed traffic flow on the freeway using deep reinforcement learning. IET Intelligent Transport Systems. https://doi.org/10.1049/itr2.12429",Chengying Hua 2023,Dynamic speed harmonization for mixed traffic flow on the freeway using deep reinforcement learning,https://doi.org/10.1049/itr2.12429,speed_harmonization_dynamic_headway_bottleneck_inflow,
32,matched to uploaded coded matrix,"Hung, Y.-C., & Zhang, K. (2022). Impact of cooperative adaptive cruise control on traffic stability. Transportation Research Record. https://doi.org/10.1177/03611981221094822",Hung and Zhang 2022,Impact of Cooperative Adaptive Cruise Control on Traffic Stability,https://doi.org/10.1177/03611981221094822,traffic_smoothing_mobile_actuator,
33,matched to uploaded coded matrix,"Jin, W. L., Gan, Q. J., & Lebacque, J. P. (2015). A kinematic wave theory of capacity drop. Transportation Research Part B: Methodological, 81, 316-329.",W. Jin 2015,A kinematic wave theory of capacity drop,https://doi.org/10.1016/j.trb.2015.07.020,,Excluded from application-map support if foundational/review-only.
34,matched to uploaded coded matrix,"Karimi, M., Roncoli, C., Alecsandru, C., & Papageorgiou, M. (2020). Cooperative merging control via trajectory optimization in mixed vehicular traffic. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2020.102663",M. Karimi 2020,Cooperative merging control via trajectory optimization in mixed vehicular traffic,https://doi.org/10.1016/j.trc.2020.102663,cooperative_merging_gap_creation_ramp_coordination,
35,verified outside coded matrix — uploaded full-text PDF,"Kesting, A., Treiber, M., & Helbing, D. (2010). Enhanced intelligent driver model to access the impact of driving strategies on traffic capacity. Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences, 368(1928), 4585-4605.",Kesting et al. 2010,,https://doi.org/10.1098/rsta.2010.0084,speed_harmonization_dynamic_headway_bottleneck_inflow,"Full text supplied and manually reviewed. Direct ACC congestion-control evidence added to the application-mechanism audit. Two-lane on-ramp simulations use traffic-adaptive ACC time-gap/acceleration settings to examine breakdown prevention, maximum pre-breakdown flow, dynamic post-breakdown capacity, and capacity drop."
36,matched to uploaded coded matrix,"Ko, B., Ryu, S., Park, B. B., & Son, S. H. (2020). Speed harmonisation and merge control using connected automated vehicles on a highway lane closure: A reinforcement learning approach. IET Intelligent Transport Systems. https://doi.org/10.1049/iet-its.2019.0709",Ko et al. 2020,Speed harmonisation and merge control using connected automated vehicles on a highway lane closure: a reinforcement learning approach,https://doi.org/10.1049/iet-its.2019.0709,cooperative_merging_gap_creation_ramp_coordination; integrated_longitudinal_lateral_bottleneck_control; speed_harmonization_dynamic_headway_bottleneck_inflow,
37,matched to uploaded coded matrix,"Kreidieh, A. R., Wu, C., & Bayen, A. M. (2018). Dissipating stop-and-go waves in closed and open networks via deep reinforcement learning. 2018 21st International Conference on Intelligent Transportation Systems (ITSC). https://doi.org/10.1109/ITSC.2018.8569485",Kreidieh 2018,Dissipating stop-and-go waves in closed and open networks via deep reinforcement learning,https://doi.org/10.1109/ITSC.2018.8569485,traffic_smoothing_mobile_actuator,
38,matched to uploaded coded matrix,"Kušić, K., Dusparic, I., Guériau, M., Gregurić, M., & Ivanjko, E. (2020). Extended variable speed limit control using multi-agent reinforcement learning. 2020 IEEE 23rd International Conference on Intelligent Transportation Systems (ITSC). https://doi.org/10.1109/ITSC45102.2020.9294639",K. Kušić 2020,Extended Variable Speed Limit control using Multi-agent Reinforcement Learning,https://doi.org/10.1109/ITSC45102.2020.9294639,speed_harmonization_dynamic_headway_bottleneck_inflow; traffic_smoothing_mobile_actuator,
39,matched to uploaded coded matrix,"Laval, J. A., & Daganzo, C. F. (2006). Lane-changing in traffic streams. Transportation Research Part B: Methodological. https://doi.org/10.1016/j.trb.2005.04.003",Laval 2006,Lane-changing in traffic streams,https://doi.org/10.1016/j.trb.2005.04.003,,Excluded from application-map support if foundational/review-only.
40,matched to uploaded coded matrix,"Li, J., Yu, C., Shen, Z., Su, Z., & Ma, W. (2023). A survey on urban traffic control under mixed traffic environment with connected automated vehicles. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2023.104258",Jinjue Li 2023,A survey on urban traffic control under mixed traffic environment with connected automated vehicles,https://doi.org/10.1016/j.trc.2023.104258,routing_dta_managed_lane_operation,Excluded from application-map support if foundational/review-only.
41,matched to uploaded coded matrix,"Li, Y., Zheng, J., Qin, L., & Li, H. (2025). Highway capacity of mixed traffic flow with autonomous vehicles: A review. Physica A: Statistical Mechanics and Its Applications. https://doi.org/10.1016/j.physa.2025.130653",Li 2025,Highway capacity of mixed traffic flow with autonomous vehicles: A review,https://doi.org/10.1016/j.physa.2025.130653,platooning,Excluded from application-map support if foundational/review-only.
42,matched to uploaded coded matrix,"Li, Z., Liu, P., Xu, C., Duan, H., & Wang, W. (2017). Reinforcement learning-based variable speed limit control strategy to reduce traffic congestion at freeway recurrent bottlenecks. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2017.2687620",Zhibin Li 2017,Reinforcement Learning-Based Variable Speed Limit Control Strategy to Reduce Traffic Congestion at Freeway Recurrent Bottlenecks,https://doi.org/10.1109/TITS.2017.2687620,speed_harmonization_dynamic_headway_bottleneck_inflow,
43,matched to uploaded coded matrix,"Lighthill, M. J., & Whitham, G. B. (1955). On kinematic waves II: A theory of traffic flow on long crowded roads. Proceedings of the Royal Society A. https://doi.org/10.1098/rspa.1955.0089",Lighthill 1955,On kinematic waves II. A theory of traffic flow on long crowded roads,https://doi.org/10.1098/rspa.1955.0089,,Excluded from application-map support if foundational/review-only.
44,matched to uploaded coded matrix,"Liu, L., Li, X., Li, Y., Li, J., & Liu, Z. (2024). Reinforcement-learning-based multilane cooperative control for on-ramp merging in mixed-autonomy traffic. IEEE Internet of Things Journal. https://doi.org/10.1109/JIOT.2024.3447039",Lin Liu 2024,Reinforcement-Learning-Based Multilane Cooperative Control for On-Ramp Merging in Mixed-Autonomy Traffic,https://doi.org/10.1109/JIOT.2024.3447039,cooperative_merging_gap_creation_ramp_coordination; integrated_longitudinal_lateral_bottleneck_control,
45,matched to uploaded coded matrix,"Lu, W., Yi, Z., Liang, B., Rui, Y., & Ran, B. (2024). Improving traffic operation of bottleneck in a connected and automated vehicles environment: An integrated lane-level control method. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2024.3362129",Wenqi Lu 2024,Improving Traffic Operation of Bottleneck in a Connected and Automated Vehicles Environment: An Integrated Lane-Level Control Method,https://doi.org/10.1109/TITS.2024.3362129,integrated_longitudinal_lateral_bottleneck_control; speed_harmonization_dynamic_headway_bottleneck_inflow,
46,bibliographically verified outside coded matrix — full text unavailable,"Mahmassani, H. S. (2016). 50th anniversary invited article—Autonomous vehicles and connected vehicle systems: Flow and operations considerations. Transportation Science, 50(4), 1140-1162.",Mahmassani 2016,,https://doi.org/10.1287/trsc.2016.0712,,DOI supplied in the updated audit. Full text was not supplied and is not publicly available according to the author note. Kept as system-context/foundational reference only; no new corpus coding or Figure 2 marker support was inferred without the full text.
47,matched to uploaded coded matrix,"Marczak, F., Leclercq, L., & Buisson, C. (2015). A macroscopic model for freeway weaving sections. Computer-Aided Civil and Infrastructure Engineering. https://doi.org/10.1111/mice.12119",Marczak 2015,A macroscopic model for freeway weaving sections,https://doi.org/10.1111/mice.12119,,Excluded from application-map support if foundational/review-only.
48,matched to uploaded coded matrix,"Nakka, S. K. S., Chalaki, B., & Malikopoulos, A. A. (2022). A multi-agent deep reinforcement learning coordination framework for connected and automated vehicles at merging roadways. 2022 American Control Conference (ACC). https://doi.org/10.23919/ACC53348.2022.9867314",S. Nakka 2022,A Multi-Agent Deep Reinforcement Learning Coordination Framework for Connected and Automated Vehicles at Merging Roadways,https://doi.org/10.23919/ACC53348.2022.9867314,cooperative_merging_gap_creation_ramp_coordination,
49,verified outside coded matrix — uploaded full-text PDF,"Newell, G. F. (1993). A simplified theory of kinematic waves in highway traffic, part I: General theory. Transportation Research Part B: Methodological, 27(4), 281-287.",Newell 1993,,https://doi.org/10.1016/0191-2615(93)90038-C,,Full text supplied and verified. Foundational kinematic-wave/cumulative-flow theory. Mechanism-supporting/foundational only; not used as operational application-map support.
50,matched to uploaded coded matrix,"Öncü, S., Ploeg, J., van de Wouw, N., & Nijmeijer, H. (2014). Cooperative adaptive cruise control: Network-aware analysis of string stability. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2014.2302816",Sinan Öncü 2014,Cooperative Adaptive Cruise Control: Network-Aware Analysis of String Stability,https://doi.org/10.1109/TITS.2014.2302816,traffic_smoothing_mobile_actuator,
51,matched to uploaded coded matrix,"Pan, T., Guo, R., Lam, W. H. K., Zhong, R., Wang, W., & He, B. (2021). Integrated optimal control strategies for freeway traffic mixed with connected automated vehicles: A model-based reinforcement learning approach. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2021.102987",Pan et al. 2021,Integrated optimal control strategies for freeway traffic mixed with connected automated vehicles: A model-based reinforcement learning approach,https://doi.org/10.1016/j.trc.2021.102987,integrated_longitudinal_lateral_bottleneck_control; speed_harmonization_dynamic_headway_bottleneck_inflow,
52,matched to uploaded coded matrix,"Pan, Y., Wu, Y., Xu, L., Xia, C., & Olson, D. L. (2024). The impacts of connected autonomous vehicles on mixed traffic flow: A comprehensive review. Physica A: Statistical Mechanics and Its Applications. https://doi.org/10.1016/j.physa.2023.129454",Yuchen Pan 2024,The impacts of connected autonomous vehicles on mixed traffic flow: A comprehensive review,https://doi.org/10.1016/j.physa.2023.129454,routing_dta_managed_lane_operation; speed_harmonization_dynamic_headway_bottleneck_inflow; traffic_smoothing_mobile_actuator,Excluded from application-map support if foundational/review-only.
53,matched to uploaded coded matrix,"Papacharalampous, A. E., Wang, M., Knoop, V. L., Goñi-Ros, B., Takahashi, T., Sakata, I., van Arem, B., & Hoogendoorn, S. P. (2015). Mitigating congestion at sags with adaptive cruise control systems. 2015 IEEE 18th International Conference on Intelligent Transportation Systems. https://doi.org/10.1109/ITSC.2015.395",Papacharalampous et al. 2015,Mitigating Congestion at Sags with Adaptive Cruise Control Systems,https://doi.org/10.1109/ITSC.2015.395,speed_harmonization_dynamic_headway_bottleneck_inflow; traffic_smoothing_mobile_actuator,
54,matched to uploaded coded matrix,"Perraki, G., Roncoli, C., Papamichail, I., & Papageorgiou, M. (2018). Evaluation of a model predictive control framework for motorway traffic involving conventional and automated vehicles. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2018.05.002",Georgia Perraki 2018,Evaluation of a model predictive control framework for motorway traffic involving conventional and automated vehicles,https://doi.org/10.1016/j.trc.2018.05.002,speed_harmonization_dynamic_headway_bottleneck_inflow,
55,matched to uploaded coded matrix,"Perrine, K. A., Kockelman, K. M., & Huang, Y. (2020). Anticipating long-distance travel shifts due to self-driving vehicles. Journal of Transport Geography. https://doi.org/10.1016/j.jtrangeo.2019.102547",Perrine 2020,Anticipating long-distance travel shifts due to self-driving vehicles,https://doi.org/10.1016/j.jtrangeo.2019.102547,routing_dta_managed_lane_operation,
56,matched to uploaded coded matrix,"Phan, T. T., Le, L., & Ngoduy, D. (2020). A cooperative space distribution method for autonomous vehicles at a lane-drop bottleneck on multi-lane freeways. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2020.3040431",T. T. Phan 2020,A Cooperative Space Distribution Method for Autonomous Vehicles at A Lane-Drop Bottleneck on Multi-Lane Freeways,https://doi.org/10.1109/TITS.2020.3040431,integrated_longitudinal_lateral_bottleneck_control; platooning,
57,matched to uploaded coded matrix,"Qin, Y., & Wang, H. (2021). Stabilizing mixed cooperative adaptive cruise control traffic flow to balance capacity using car-following model. Journal of Intelligent Transportation Systems. https://doi.org/10.1080/15472450.2021.1985490",Qin and Wang 2021,Stabilizing mixed cooperative adaptive cruise control traffic flow to balance capacity using car-following model,https://doi.org/10.1080/15472450.2021.1985490,traffic_smoothing_mobile_actuator,
58,matched to uploaded coded matrix,"Ramezani, M., & Ye, E. (2019). Lane density optimisation of automated vehicles for highway congestion control. Transportmetrica B: Transport Dynamics. https://doi.org/10.1080/21680566.2019.1568925",M. Ramezani 2019,Lane density optimisation of automated vehicles for highway congestion control,https://doi.org/10.1080/21680566.2019.1568925,lane_assignment_lane_use_control,
59,bibliographically verified outside coded matrix — full text unavailable,"Richards, P. I. (1956). Shock waves on the highway. Operations research, 4(1), 42-51.",Richards 1956,,https://doi.org/10.1287/opre.4.1.42,,DOI supplied in the updated audit. Full text was not supplied and is not publicly available according to the author note. Foundational LWR/shock-wave reference; no new application coding or Figure 2 marker support was inferred.
60,matched to uploaded coded matrix,"Rios-Torres, J., & Malikopoulos, A. A. (2017). Automated and cooperative vehicle merging at highway on-ramps. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2016.2587582",Rios-Torres and Malikopoulos 2017,Automated and cooperative vehicle merging at highway on-ramps,https://doi.org/10.1109/TITS.2016.2587582,cooperative_merging_gap_creation_ramp_coordination,
61,matched to uploaded coded matrix,"Roncoli, C. (2019). Integrated optimal traffic flow control enabled by speed and time-gap regulation. 2019 IEEE Intelligent Transportation Systems Conference (ITSC). https://doi.org/10.1109/ITSC.2019.8917432",C. Roncoli 2019,Integrated optimal traffic flow control enabled by speed and time-gap regulation,https://doi.org/10.1109/ITSC.2019.8917432,routing_dta_managed_lane_operation; speed_harmonization_dynamic_headway_bottleneck_inflow,
