corpus_id,manuscript_reference_number,citation_key,year,title,authors,journal_venue,doi_or_stable_url,manuscript_reference,review_role,coding_source,coding_completeness,study_type,av_cav_technology,primary_theme,relevance_tier,av_cav_decision_lever,design_method,coordination_implementation_mode,operational_application,facility_system_scale,mixed_traffic_condition,evidence_setting,congestion_mechanism,congestion_metric,key_finding,main_limitation,lane_changing_modeled,routing_modeled,source_ids,source,verification_status,audit_note,legacy_control_dimension,legacy_control_method,legacy_traffic_setting,legacy_congestion_mechanism,legacy_evaluation_metrics
M023,23,Gunter et al. 2021,2021,Are Commercially Implemented Adaptive Cruise Control Systems String Stable?,"George Gunter, Derek Gloudemans, Raphael E. Stern, Sean McQuade, Rahul Bhadani, Matt Bunting, Maria Laura Delle Monache, Roman Lysecky, Benjamin Seibold, Jonathan Sprinkle, Benedetto Piccoli, and Daniel B. Work","IEEE Transactions on Intelligent Transportation Systems, 22(11), 6992–7003",https://doi.org/10.1109/TITS.2020.3000682,"Gunter, G., Gloudemans, D., Stern, R. E., McQuade, S., Bhadani, R., Bunting, M., Delle Monache, M. L., Lysecky, R., Seibold, B., Sprinkle, J., Piccoli, B., & Work, D. B. (2021). Are commercially implemented adaptive cruise control systems string stable? IEEE Transactions on Intelligent Transportation Systems, 22(11), 6992–7003. https://doi.org/10.1109/TITS.2020.3000682",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Field experiment; empirical model calibration; string-stability analysis; platoon simulation/validation,Commercial ACC,Longitudinal control,Tier 2,Acceleration/deceleration; Desired time headway/spacing gap,Rule-based/control law,Cooperative V2V,Traffic smoothing / mobile-actuator control,ACC platoon / car-following field test; single-lane platoon,Commercial ACC; HDV/mixed-traffic behavior; Controller/driver heterogeneity,Analytical/theoretical; Simulation; Field experiment,Stop-and-go waves / flow stability; String instability; Phantom jams,string stability/wave damping; speed disturbance amplification; speed/spacing error; ACC disengagement,"Gunter et al. (2021) tested seven commercially available 2018 ACC vehicle models using more than 1,200 miles of car-following data and calibrated delay-differential car-following models. All tested ACC systems were string unstable, and an eight-vehicle platoon experiment amplified a 6 mph lead-vehicle disturbance to a 25 mph disturbance, causing the final ACC vehicle to disengage; this provides direct evidence that current commercial ACC can worsen disturbance propagation rather than damp stop-and-go waves.",Empirical evidence is limited to seven 2018 models from two makes and selected min/max following settings; ACC logic is black-box and approximated by fitted models; no direct network-scale congestion mitigation test; authors note higher-fidelity models and comparisons with human drivers are future work.,No,No,Undermind #53,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,ACC/CACC; Empirical calibration; String-stability analysis,ACC platoon / car-following field test; single-lane platoon,Stop-and-go waves / flow stability; String instability; Phantom jams,string stability/wave damping; speed disturbance amplification; speed/spacing error; ACC disengagement
M024,24,Guo et al. 2022,2022,Evaluating the Effectiveness of Integrated Connected Automated Vehicle Applications Applied to Freeway Managed Lanes,"Yi Guo, Jiaqi Ma, Edward Leslie, and Zhitong Huang",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2020.3012678,"Guo, Y., Ma, J., Leslie, E., & Huang, Z. (2022). Evaluating the effectiveness of integrated connected automated vehicle applications applied to freeway managed lanes. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2020.3012678",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Microscopic simulation; algorithm development; partial field-model validation,CAV; connected vehicles; VAD,Longitudinal control; cooperative merging; speed harmonization; managed-lane/lane-use control,Tier 1,Desired speed; Lane choice; Merge/yield/gap-acceptance decision; Entry/access/release decision,Other / not clearly specified,Cooperative V2V,Cooperative merging / coordinated gap creation / ramp coordination; Platooning; Routing / dynamic traffic assignment / managed-lane operation; Speed harmonization / dynamic headway / bottleneck-inflow regulation,freeway managed lane; merge area,CAV; connected vehicles; VAD; Penetration/controllable-share assumption; Communication-reliability assumption,Simulation,Bottleneck activation/throughput; Network congestion distribution; Merging turbulence,throughput/delay/capacity,"Guo et al. (2022) evaluated bundled CAV applications for freeway managed lanes, combining CACC platooning, cooperative merge, and speed harmonization in VISSIM. The study found that integrated applications increased throughput and reduced delay even at lower CAV penetration, with cooperative merge producing large delay reductions and speed harmonization mainly improving delay at medium-to-high penetration, measured by throughput, average delay, and pipeline capacity.","Simulation-only operational evaluation on a simplified managed-lane network; assumes all managed-lane vehicles are at least VAD-equipped, ramp traffic is 100% CAV, and communication success is 100%; safety impacts and complex real-world networks are left for future work.",Yes,Yes,Undermind #83,Undermind catalog,matched to uploaded coded matrix,,Route/network/lane-use; Cooperative; Longitudinal,Simulation; CACC; cooperative merge; speed harmonization,freeway managed lane; merge area,Bottleneck activation/throughput; Network congestion distribution; Merging turbulence,throughput/delay/capacity
M025,25,Yuqing Guo 2020,2020,Integrated Variable Speed Limits and Lane-Changing Control for Freeway Lane-Drop Bottlenecks,"Yuqing Guo, Huile Xu, Yi Zhang, and Danya Yao",IEEE Access,https://doi.org/10.1109/ACCESS.2020.2981658,"Guo, Y., Xu, H., Zhang, Y., & Yao, D. (2020). Integrated variable speed limits and lane-changing control for freeway lane-drop bottlenecks. IEEE Access. https://doi.org/10.1109/ACCESS.2020.2981658",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation,CAV,Direct bottleneck/congestion mitigation,Tier 1,Desired speed,MPC; Optimal control; Heuristic control; Rule-based/control law,Individual/onboard or not clearly specified,Integrated longitudinal–lateral bottleneck control; Speed harmonization / dynamic headway / bottleneck-inflow regulation,lane-drop bottleneck; freeway bottleneck; freeway segment/corridor,CAV; Penetration/controllable-share assumption,Analytical/theoretical; Simulation,Capacity drop; Bottleneck activation/throughput; Lane-changing friction / gaps,flow/throughput; capacity; TTS; TTD; travel time; emissions,Guo et al. 2020 proposed integrated VSL and lane-changing control for CAVs at freeway lane-drop bottlenecks using MPC with an improved multi-class CTM and GA optimization. The study reported higher bottleneck capacity and lower total travel time by 23.86% to 44.62% plus emission reductions in SUMO simulations but it assumes all vehicles are CAVs and relies on simulation evidence.,Simulation-only evidence; assumes all vehicles are CAVs; simplified two-lane lane-closure scenario; future work needed for different CAV penetration rates,Yes,No,Undermind #32,Undermind catalog,matched to uploaded coded matrix,,Longitudinal; Lateral,MPC; Genetic algorithm; VSL; Lane-changing control,lane-drop bottleneck; freeway bottleneck; freeway segment/corridor,Capacity drop; Bottleneck activation/throughput; Lane-changing friction / gaps,flow/throughput; capacity; TTS; TTD; travel time; emissions
M026,26,Ha 2023,2023,Leveraging vehicle connectivity and autonomy for highway bottleneck congestion mitigation using reinforcement learning,"Paul Young Joun Ha, Sikai Chen, Jiqian Dong, and Samuel Labi",Transportmetrica A: Transport Science,https://doi.org/10.1080/23249935.2023.2215338,"Ha, P., Chen, S., Dong, J., & Labi, S. (2025). Leveraging vehicle connectivity and autonomy for highway bottleneck congestion mitigation using reinforcement learning. Transportmetrica A: Transport Science, 21(1), Article 2215338. https://doi.org/10.1080/23249935.2023.2215338",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Microsimulation and reinforcement learning,CAV; mixed HDV-CAV,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Desired speed; Desired time headway/spacing gap,RL/MARL,Individual/onboard or not clearly specified,Speed harmonization / dynamic headway / bottleneck-inflow regulation,highway bottleneck; lane-drop bottleneck; mixed traffic corridor,CAV; mixed HDV-CAV; HDV/mixed-traffic behavior; Compliance assumption; Communication-reliability assumption,Simulation,Bottleneck activation/throughput; speed oscillations; shockwave formation,throughput/capacity; speed/stability; delay/travel time/queue,Ha et al. 2023 trained CAVs with graph convolution and DDPG to harmonize speeds at highway lane-drop bottlenecks in mixed traffic. SUMO experiments showed that small CAV fleets improved bottleneck throughput and reduced speed variation relative to car-following baselines and generally outperformed VSL despite the VSL assuming full human-driver compliance.,Simulation-only evidence. Communication latency was assumed zero. CAV lane-changing was not used as a control action. Generalisability across car-following models and real deployment incentives require further study.,Yes,No/unclear,Undermind #5,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,RL/MARL; DDPG; Graph neural network; Speed harmonization,highway bottleneck; lane-drop bottleneck; mixed traffic corridor,Bottleneck activation/throughput; speed oscillations; shockwave formation,throughput/capacity; speed/stability; delay/travel time/queue
M027,27,Youngjun Han 2020,2020,Variable Speed Release (VSR): Speed Control to Increase Bottleneck Capacity,Youngjun Han and Soyoung Ahn,IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2019.2891314,"Han, Y., & Ahn, S. (2020). Variable speed release (VSR): Speed control to increase bottleneck capacity. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2019.2891314",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation,CAV; AV,Direct bottleneck/congestion mitigation,Tier 1,Desired speed; Entry/access/release decision,Rule-based/control law,Individual/onboard or not clearly specified,Speed harmonization / dynamic headway / bottleneck-inflow regulation,freeway bottleneck; lane-drop bottleneck; merge bottleneck,CAV; AV; Controller/driver heterogeneity; Compliance assumption,Analytical/theoretical; Simulation,Bottleneck activation; stochastic breakdown; capacity drop,Discharge rate; total delay; average delay; breakdown probability; breakdown flow rate,Han and Ahn 2020 proposed Variable Speed Release to increase vehicle speed near bottlenecks and reduce stochastic breakdown probability. VISSIM results showed discharge-rate gains up to 20.5% and delay reduction up to 93.6% in CAV scenarios but benefits were smaller for manual vehicles.,The method assumes ideal geometry and high compliance. The authors note that heterogeneous traffic flow dynamic response time safety tradeoffs and external CAV behavior models need further study.,Yes,No,Undermind #23,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,Speed control; Variable Speed Release; complementary VSL or ramp metering,freeway bottleneck; lane-drop bottleneck; merge bottleneck,Bottleneck activation; stochastic breakdown; capacity drop,Discharge rate; total delay; average delay; breakdown probability; breakdown flow rate
M028,28,Yu Han 2021,2021,A linear Lagrangian model predictive controller of macro- and micro- variable speed limits to eliminate freeway jam waves,"Yu Han, Meng Wang, Ziang He, Zhibin Li, Hao Wang, and Pan Liu",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2021.103121,"Han, Y., Wang, M., He, Z., Li, Z., Wang, H., & Liu, P. (2021). A linear Lagrangian model predictive controller of macro- and micro-variable speed limits to eliminate freeway jam waves. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2021.103121",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + microscopic simulation,CAV; CV,Direct bottleneck/congestion mitigation,Tier 1,Desired speed,MPC; Rule-based/control law,Individual/onboard or not clearly specified,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,freeway segment/corridor,CAV; CV; HDV/mixed-traffic behavior,Analytical/theoretical; Simulation,Stop-and-go waves / jam waves; Capacity drop; Bottleneck activation/throughput; Flow stability,total time spent; total travel distance; speed and flow contours; throughput; speed/stability; wave damping,Han et al. 2021 developed a linear MPC for variable speed limits based on a discrete Lagrangian LWR model and extended it to a hierarchical CAV-actuated speed-control framework. Microscopic simulations showed that the MPC resolved freeway jam waves and reduced total time spent by 7.3% in VISSIM and by about 9.0% to 10.3% with 5% CAVs acting as mobile actuators in the hierarchical test.,Simulation-only validation; experiments used synthetic freeway settings and model-calibrated scenarios; hierarchical CAV test used a single-lane simulator with IDM+ human drivers; no field deployment and robustness to broader networks remains to be verified.,No/unclear,No/unclear,Undermind #15,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,MPC; VSL/speed control; Hierarchical control,freeway segment/corridor,Stop-and-go waves / jam waves; Capacity drop; Bottleneck activation/throughput; Flow stability,total time spent; total travel distance; speed and flow contours; throughput; speed/stability; wave damping
M029,29,Kangning Hou 2023,2023,Cooperative On-Ramp Merging Control Model for Mixed Traffic on Multi-Lane Freeways,"Kangning Hou, F. Zheng, Xiaobo Liu, and Ge Guo",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2023.3274586,"Hou, K., Zheng, F., Liu, X., & Guo, G. (2023). Cooperative on-ramp merging control model for mixed traffic on multi-lane freeways. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2023.3274586",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation,CAV; connected human-driven vehicles,Direct bottleneck/congestion mitigation,Tier 1,Merge/yield/gap-acceptance decision,MPC,Cooperative V2V,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control,on-ramp merge; multi-lane freeway segment,CAV; connected human-driven vehicles; Penetration/controllable-share assumption; Compliance assumption; Communication-reliability assumption,Analytical/theoretical; Simulation,merging bottleneck; congestion wave propagation; throughput loss,average mainline flow; average merging flow; average mainline speed; average merging speed; flow increment rate; speed increment rate; collision occurrence,Hou et al. 2023 studied a hierarchical cooperative on-ramp merging control model for mixed CAV and connected human-driven traffic on a multi-lane freeway. The study found that CORMC can raise merging and mainline throughput by over 75% at sufficiently high CAV penetration and mitigate congestion wave propagation measured using average flow and average speed but benefits depend strongly on CHV compliance and high CAV penetration.,Simulation-only MATLAB evidence; assumes V2V communication without delay; assumes all HVs are connected CHVs; low compliance below 50% gives marginal benefit; future work needed for freeways with more than two mainline lanes and off-ramp bottlenecks,Yes,No,Undermind #44,Undermind catalog,matched to uploaded coded matrix,,Longitudinal + lateral,Hierarchical cooperative control; anticipatory position searching; collaborative utility choice; cooperative merging control; MPC trajectory tracking,on-ramp merge; multi-lane freeway segment,merging bottleneck; congestion wave propagation; throughput loss,average mainline flow; average merging flow; average mainline speed; average merging speed; flow increment rate; speed increment rate; collision occurrence
M030,30,Hu 2019,2019,Trajectory optimization of connected and autonomous vehicles at a multilane freeway merging area,Xiangwang Hu and Jian Sun,Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2019.02.016,"Hu, X., & Sun, J. (2019). Trajectory optimization of connected and autonomous vehicles at a multilane freeway merging area. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2019.02.016",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Microsimulation and trajectory optimization,CAV,Direct bottleneck/congestion mitigation,Tier 1,Lane-change timing/execution; Merge/yield/gap-acceptance decision,Optimal control,Cooperative V2V,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control,multilane freeway merging area; on-ramp merge; freeway bottleneck,CAV,Simulation,Bottleneck activation/throughput; merging turbulence; lane-changing friction,delay/travel time/queue; speed/stability; density/occupancy,Hu and Sun 2019 developed an online trajectory optimization framework combining Cooperative Lane Changing Control and Cooperative Merging Control for a multilane freeway on-ramp bottleneck in a CAV environment. VISSIM-MATLAB experiments showed that integrated CLCC plus CMC reduced total delay by up to 57.5 percent compared with CMC alone and improved average speed by up to 7.3 percent while balancing downstream lane flow.,Assumes a fully connected and autonomous merging area. Lane-changing decision and execution are separated and lane-changing vehicle selection is random. Comfort is not prioritized and results are simulation-only for a two-lane mainline case.,Yes,No/unclear,Undermind #6,Undermind catalog,matched to uploaded coded matrix,,Lateral; Longitudinal; Cooperative,Optimization/optimal control; Trajectory optimization; Cooperative merging control,multilane freeway merging area; on-ramp merge; freeway bottleneck,Bottleneck activation/throughput; merging turbulence; lane-changing friction,delay/travel time/queue; speed/stability; density/occupancy
M031,31,Chengying Hua 2023,2023,Dynamic speed harmonization for mixed traffic flow on the freeway using deep reinforcement learning,Chengying Hua and Wei (David) Fan,IET Intelligent Transport Systems,https://doi.org/10.1049/itr2.12429,"Hua, C., & Fan, W. D. (2023). Dynamic speed harmonization for mixed traffic flow on the freeway using deep reinforcement learning. IET Intelligent Transport Systems. https://doi.org/10.1049/itr2.12429",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,DRL simulation/benchmark,CAV; HDV mixed traffic,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Desired speed; Merge/yield/gap-acceptance decision,RL/MARL; Rule-based/control law,Individual/onboard or not clearly specified,Speed harmonization / dynamic headway / bottleneck-inflow regulation,freeway segment/corridor; weaving area; bottleneck,CAV; HDV mixed traffic; Penetration/controllable-share assumption; HDV/mixed-traffic behavior,Simulation,Bottleneck activation/throughput; Stop-and-go waves / flow stability; Speed breakdown / shockwaves,speed/stability; safety/risk; travel time; fuel/emissions/energy,"Hua and Fan studied DRL-based dynamic speed harmonization for mixed HDV-CAV freeway traffic near a weaving bottleneck. The study found that CAV-powered DSH improved safety and mean travel time and smoothed bottleneck speed variations, while environmental benefits appeared mainly at higher CAV penetration rates, measured using accumulated emergency deceleration, mean travel time, CO2, CO, fuel consumption, and spatiotemporal speed patterns.","Simulation-only SUMO case study on a 2 km I-80 segment; uses a single-agent controller, assumed CAV/HDV behavior and headways, and no real-world deployment; sustainability trade-offs occur at low CAV penetration rates.",Yes - default SUMO lane-changing model only; lane changing not controlled,No,Undermind #64,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,RL/MARL; DDPG; Speed harmonization / VSL,freeway segment/corridor; weaving area; bottleneck,Bottleneck activation/throughput; Stop-and-go waves / flow stability; Speed breakdown / shockwaves,speed/stability; safety/risk; travel time; fuel/emissions/energy
M032,32,Hung and Zhang 2022,2022,Impact of Cooperative Adaptive Cruise Control on Traffic Stability,Yun-Chu Hung and Kuilin Zhang,Transportation Research Record,https://doi.org/10.1177/03611981221094822,"Hung, Y.-C., & Zhang, K. (2022). Impact of cooperative adaptive cruise control on traffic stability. Transportation Research Record. https://doi.org/10.1177/03611981221094822",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling,CACC; CAV; AV; CV; HDV,Longitudinal control,Tier 2,Not clearly specified,Rule-based/control law,Cooperative V2V,Traffic smoothing / mobile-actuator control,homogeneous and mixed traffic,CACC; CAV; AV; CV; HDV; Penetration/controllable-share assumption; HDV/mixed-traffic behavior,Analytical/theoretical,Stop-and-go waves / flow stability,string stability; critical speed; minimum time headway; market penetration rate,Hung and Zhang 2022 derived CACC string-stability conditions for homogeneous CAV traffic and mixed HDV CV AV and CAV traffic. The study found that CACC can maintain string stability better than CVs and AVs at low HDV market penetration rates using stability functions and critical speed.,Analytical and numerical evidence only with parameters adopted from literature and no field validation,No,No,Undermind #196; Perplexity table P5; Perplexity bibliography,Undermind catalog; Perplexity selected table; Perplexity bibliography,matched to uploaded coded matrix,,Longitudinal; Cooperative,ACC/CACC; control-theoretic stability analysis,homogeneous and mixed traffic,Stop-and-go waves / flow stability,string stability; critical speed; minimum time headway; market penetration rate
M092,33,Jiang et al. 2024,2024,Evaluation of Connected and Autonomous Vehicles for Congestion Mitigation: An Approach Based on the Congestion Patterns of Road Networks,"Zhuo Jiang, Yin Wang, Jianwei Wang, and Xin Fu","Journal of Transportation Engineering, Part A: Systems",https://doi.org/10.1061/JTEPBS.TEENG-8121,"Jiang, Z., Wang, Y., Wang, J., & Fu, X. (2024). Evaluation of Connected and Autonomous Vehicles for Congestion Mitigation: An Approach Based on the Congestion Patterns of Road Networks. Journal of Transportation Engineering, Part A: Systems, 150(4). https://doi.org/10.1061/JTEPBS.TEENG-8121",Included as direct evidence,Final literature update — publisher abstract/practical-applications review,Substantively coded from publisher abstract and practical-applications summary; full text not supplied,Network routing/control simulation,CAV; CACC; HDV mixed traffic,Network-level routing / congestion mitigation,Tier 1,Route choice,Other / not clearly specified,Centralized,Routing / dynamic traffic assignment / managed-lane operation,Road network; network scale,CAV penetration; HDV/CAV mixture; CACC for CAVs and IDM for HDVs; inflow sensitivity,Simulation; Network/demand model,Shifted/redistributed congestion; network congestion occurrence and propagation,Average delay; travel time; network congestion state; penetration/inflow sensitivity,"Jiang et al. 2024 proposed congestion-pattern-based routing control for CAVs in a CAV/HDV network. In simulation, average delay fell by up to 46.7% and travel time by up to 28.2% in the all-CAV case; benefits increased with CAV penetration and weakened as inflow increased.",Simulation-only network evidence; centralized routing and congestion-pattern extraction assumptions; no field deployment; quantitative gains depend on penetration and inflow.,No / not a primary control variable,Yes,Final update #1,Author final literature update; publisher/ASCE record,verified outside coded matrix — publisher abstract/practical-applications review,Added in final literature update as direct network-level CAV routing evidence. Direct map support limited to shifted/redistributed congestion/network persistence claims.,Routing / network control,Congestion-pattern-based centralized routing,Road network; mixed CAV/HDV traffic,Network congestion / redistribution,Average delay; travel time; network congestion state
M033,34,W. Jin 2015,2015,A kinematic wave theory of capacity drop,"Wen-Long Jin, Qi-Jian Gan, and Jean-Patrick Lebacque",Transportation Research Part B: Methodological,https://doi.org/10.1016/j.trb.2015.07.020,"Jin, W. L., Gan, Q. J., & Lebacque, J. P. (2015). A kinematic wave theory of capacity drop. Transportation Research Part B: Methodological, 81, 316-329.",Included as mechanism-supporting evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling,N/A or needs verification,Foundational theory,Tier 3,Merge/yield/gap-acceptance decision,Not applicable,Not applicable / not clearly specified,Not applicable,lane-drop bottleneck and merge bottleneck,N/A or needs verification,Analytical/theoretical,Capacity drop; Bottleneck activation/throughput; Queue formation/discharge,throughput/capacity; flow-density relation; discharge flow rate,Jin et al. 2015 developed a kinematic wave model of capacity drop using continuous fundamental diagrams and a discontinuous entropy condition. The study showed that capacity drop occurs when an upstream queue activates the bottleneck and empirical I-405 merge data showed about 10.5% discharge-flow reduction but the model is phenomenological and requires calibrated drop magnitude.,Exogenous capacity-drop parameter and lane-drop approximation for merge bottleneck and no AV/CAV control tested,No/unclear,No/unclear,Undermind #181,Undermind catalog,matched to uploaded coded matrix,Excluded from application-map support if foundational/review-only.,Longitudinal,Traffic-flow modeling,lane-drop bottleneck and merge bottleneck,Capacity drop; Bottleneck activation/throughput; Queue formation/discharge,throughput/capacity; flow-density relation; discharge flow rate
M034,35,M. Karimi 2020,2020,Cooperative merging control via trajectory optimization in mixed vehicular traffic,"M. Karimi, C. Roncoli, C. Alecsandru, and M. Papageorgiou",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2020.102663,"Karimi, M., Roncoli, C., Alecsandru, C., & Papageorgiou, M. (2020). Cooperative merging control via trajectory optimization in mixed vehicular traffic. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2020.102663",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation,CAV; AV,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Merge/yield/gap-acceptance decision,MPC; Optimal control,Cooperative V2V,Cooperative merging / coordinated gap creation / ramp coordination,on-ramp merge; merge/merging area; freeway bottleneck,CAV; AV; Penetration/controllable-share assumption,Analytical/theoretical; Simulation,Merging turbulence; Lane-changing friction / gaps; Bottleneck activation/throughput,speed/stability; safety surrogate; comfort; merging success,Karimi et al. 2020 developed cooperative MPC-based trajectory optimization for six mixed CAV-conventional triplet scenarios at highway merging areas. The simulations showed efficient and smooth merging maneuvers that satisfied safety and comfort constraints and avoided stopping at the end of the acceleration lane.,Simulation-only lower-level controller; merging sequence assumed from a higher level; continuous mixed-flow evaluation across penetration rates not included; human-driver behavior cannot be fully guaranteed and triplet failure remains possible,Yes,No,Undermind #8,Undermind catalog,matched to uploaded coded matrix,,Cooperative; Longitudinal,MPC; Optimization/optimal control,on-ramp merge; merge/merging area; freeway bottleneck,Merging turbulence; Lane-changing friction / gaps; Bottleneck activation/throughput,speed/stability; safety surrogate; comfort; merging success
M035,36,Kesting et al. 2010,2010,Enhanced intelligent driver model to access the impact of driving strategies on traffic capacity,Arne Kesting; Martin Treiber; Dirk Helbing,"Philosophical Transactions of the Royal Society A, 368(1928), 4585–4605",https://doi.org/10.1098/rsta.2010.0084,"Kesting, A., Treiber, M., & Helbing, D. (2010). Enhanced intelligent driver model to access the impact of driving strategies on traffic capacity. Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences, 368(1928), 4585-4605.",Included as direct evidence,Manual full-text coding from uploaded PDF,Substantively coded from full text,Microscopic traffic simulation of ACC strategies,ACC; mixed ACC/human traffic,Longitudinal ACC control and bottleneck capacity,Direct evidence,Acceleration/deceleration; Desired speed; Desired time headway/spacing gap,Rule-based/control law,Individual/onboard,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Two-lane freeway with on-ramp bottleneck,Variable ACC penetration; human-driver interaction; cut-in behavior,Simulation,Congestion onset/breakdown; Capacity drop; Queue formation/discharge,Maximum pre-breakdown flow; dynamic post-breakdown capacity; travel time,"Traffic-adaptive ACC strategies can increase both maximum pre-breakdown capacity and dynamic post-breakdown bottleneck capacity in simulation, with effects dependent on ACC strategy and penetration.","Simulation-based evidence; results depend on modeled human/ACC behavior, bottleneck geometry, and strategy assumptions.",Yes,No,,Manuscript reference + uploaded PDF/audit verification,verified outside coded matrix — uploaded full-text PDF,"Full text supplied and manually reviewed. Direct ACC congestion-control evidence added to the application-mechanism audit. Two-lane on-ramp simulations use traffic-adaptive ACC time-gap/acceleration settings to examine breakdown prevention, maximum pre-breakdown flow, dynamic post-breakdown capacity, and capacity drop.",,,,,
M093,37,Kim et al. 2023,2023,Lane-changing control with balancing lane flow at freeway merge bottlenecks in a connected vehicle environment: Application of a PID controller,"Yongju Kim, Dongju Ka, and Chungwon Lee","IET Intelligent Transport Systems, 17(11), 2313-2332",https://doi.org/10.1049/itr2.12412,"Kim, Y., Ka, D., & Lee, C. (2023). Lane-changing control with balancing lane flow at freeway merge bottlenecks in a connected vehicle environment: Application of a PID controller. IET Intelligent Transport Systems, 17(11), 2313-2332. https://doi.org/10.1049/itr2.12412",Included as direct evidence,Final literature update — uploaded full-text review,Substantively coded from uploaded full text,Microscopic simulation with calibrated real-world network case,CV; CHV; CAV,Direct bottleneck/congestion mitigation; lane-use/lane-changing control,Tier 1,Lane choice; Lane-change timing/execution,Rule-based/control law,Infrastructure-assisted V2I/I2V; Centralized,Lane assignment / lane-use control,Freeway merge bottleneck; freeway segment/corridor,CHV/CAV mixture; connected-vehicle actuation; demand sensitivity; calibrated real-world network scenario,Simulation,Congestion onset / breakdown; Capacity drop; Queue formation / discharge; Lane-changing friction,Lane-flow imbalance; discharge flow rate; capacity drop; average travel time; cumulative counts/queue extent,"Kim et al. 2023 used PID feedback to balance lane flow upstream of a freeway merge. Simulations showed lower lane-flow imbalance, improved discharge and travel time, and more effective capacity-drop relief under high demand than a non-feedback lane-changing strategy.",Simulation-only evidence; connected-vehicle execution/compliance assumptions; no field deployment despite calibration of a real-world network.,Yes,No,Final update #2,Author final literature update; uploaded full-text PDF,verified outside coded matrix — uploaded full-text PDF,"Added as direct lane-use/lane-changing control evidence at merge bottlenecks; supports onset, capacity-drop, queue/discharge, and lane-changing-friction mechanisms.",Lateral/lane-changing control,PID feedback lane-changing control,Freeway merge bottleneck; connected mixed traffic,Capacity drop; lane-flow imbalance; queue formation,Discharge flow; average travel time; lane-flow imbalance; cumulative counts
