application,mechanism,marker,relationship_type,supporting_study_count,supporting_study_ids,supporting_citation_keys,finding_pattern,evidence_settings,facility_context,spatial_system_scale,common_design_methods,brief_rationale,direct_supporting_study_count,indirect_supporting_study_count,draft_basis,legacy_typical_facilities
Speed harmonization / dynamic headway / bottleneck-inflow regulation,String instability,direct_limited_or_mixed,direct,2,S046; S055,Mingfeng Shang 2021; Shian Wang 2023,mixed_or_conditional,analytical/theoretical; simulation,On-ramp merge; Ring-road / single-lane testbed,Bottleneck / local facility; Vehicle string / platoon,other/unspecified; rule-based/control law,"2 manuscript-linked coded studies directly associate the application with this mechanism, but at least one reports negative/mixed or strongly conditional effects.",2,0,Final manuscript-linked retained corpus and verified study-level coding,COR; RM; RR/SL
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Congestion onset / breakdown,direct_limited_or_mixed,direct,30,S001; S003; S007; S009; S010; S011; S012; S013; S014; S017; S018; S019; S020; S021; S024; S027; S029; S030; S032; S036; S037; S043; S044; S047; S051; S053; S054; S055; S058; S066,Majeed Algomaiah 2022; An et al. 2023; Sungyong Chung 2024; Daganzo 2002; Yu Du 2023; Elmorshedy et al. 2023; A. Ghiasi 2019; Goñi-Ros et al. 2016; Bernat Goñi-Ros 2019; Guo et al. 2022; Yuqing Guo 2020; Ha 2023; Youngjun Han 2020; Yu Han 2021; Chengying Hua 2023; Ko et al. 2020; K. Kušić 2020; Zhibin Li 2017; Wenqi Lu 2024; Papacharalampous et al. 2015; Georgia Perraki 2018; C. Roncoli 2019; C. Roncoli 2015; S. Shladover 2012; Van Arem 2006; Eugene Vinitsky 2018; Wang et al. 2016; Shian Wang 2023; Lin Xiao 2020; Kesting et al. 2010,mixed_or_conditional,analytical/theoretical; field experiment; not clearly specified; simulation,Basic freeway or motorway segment; Diverge / off-ramp bottleneck; Lane drop; On-ramp merge; Ring-road / single-lane testbed; Sag curve; Weaving section; Work zone / lane closure,Bottleneck / local facility; Corridor; Local road segment; Network/system; Not applicable; Vehicle string / platoon,MPC; RL/MARL; optimal control; other/unspecified; rule-based/control law,30 manuscript-linked studies directly associate speed/headway/inflow control with congestion onset or breakdown. Kesting et al. (2010) adds a two-lane on-ramp simulation in which traffic-adaptive ACC settings are used for breakdown prevention.,30,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; NET; RM; RR/SL; SG; WV; WZ
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop,direct_limited_or_mixed,direct,18,S001; S003; S007; S014; S018; S020; S021; S030; S032; S036; S037; S043; S044; S052; S053; S054; S057; S066,Majeed Algomaiah 2022; An et al. 2023; Sungyong Chung 2024; Bernat Goñi-Ros 2019; Yuqing Guo 2020; Youngjun Han 2020; Yu Han 2021; Zhibin Li 2017; Wenqi Lu 2024; Papacharalampous et al. 2015; Georgia Perraki 2018; C. Roncoli 2019; C. Roncoli 2015; Eugene Vinitsky 2023; Eugene Vinitsky 2018; Wang et al. 2016; Lin Xiao 2018; Kesting et al. 2010,mixed_or_conditional,analytical/theoretical; simulation,Basic freeway or motorway segment; Diverge / off-ramp bottleneck; Lane drop; On-ramp merge; Ring-road / single-lane testbed; Sag curve; Work zone / lane closure,Bottleneck / local facility; Corridor; Local road segment; Network/system; Vehicle string / platoon,MPC; RL/MARL; optimal control; rule-based/control law,18 manuscript-linked studies directly associate speed/headway/inflow control with capacity-drop or post-breakdown discharge outcomes. Kesting et al. (2010) explicitly compares maximum pre-breakdown flow with dynamic post-breakdown capacity in simulation.,18,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; NET; RM; RR/SL; SG; WZ
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Queue formation / discharge,direct_repeated,direct,10,S001; S007; S009; S014; S036; S044; S052; S053; S066; S071,Majeed Algomaiah 2022; Sungyong Chung 2024; Daganzo 2002; Bernat Goñi-Ros 2019; Papacharalampous et al. 2015; C. Roncoli 2015; Eugene Vinitsky 2023; Eugene Vinitsky 2018; Kesting et al. 2010; Daiquan Xiao 2022,broadly_consistent,analytical/theoretical; not clearly specified; simulation,Basic freeway or motorway segment; Diverge / off-ramp bottleneck; Lane drop; On-ramp merge; Sag curve; Work zone / lane closure,Bottleneck / local facility; Not applicable; Vehicle string / platoon,MPC; RL/MARL; optimal control; rule-based/control law,10 direct supporting studies associate speed/headway/inflow regulation with queue or discharge outcomes across bottleneck settings.,10,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; NET; RM; RR/SL; SG; WZ
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Lane-changing friction,direct_limited_or_mixed,direct,19,S001; S007; S009; S010; S018; S027; S032; S035; S037; S044; S051; S058; S012; S013; S046; S047; S052; S055; S057,Majeed Algomaiah 2022; Sungyong Chung 2024; Daganzo 2002; Yu Du 2023; Yuqing Guo 2020; Ko et al. 2020; Wenqi Lu 2024; Pan et al. 2021; Georgia Perraki 2018; C. Roncoli 2015; Van Arem 2006; Lin Xiao 2020; A. Ghiasi 2019; Goñi-Ros et al. 2016; Mingfeng Shang 2021; S. Shladover 2012; Eugene Vinitsky 2023; Shian Wang 2023; Lin Xiao 2018,mixed_or_conditional,analytical/theoretical; field experiment; not clearly specified; simulation,Basic freeway or motorway segment; Diverge / off-ramp bottleneck; Lane drop; On-ramp merge; Ring-road / single-lane testbed; Sag curve; Weaving section; Work zone / lane closure,Bottleneck / local facility; Corridor; Local road segment; Network/system; Not applicable; Vehicle string / platoon,MPC; RL/MARL; optimal control; other/unspecified; rule-based/control law,"12 manuscript-linked coded studies directly associate the application with this mechanism, but at least one reports negative/mixed or strongly conditional effects.",12,7,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; NET; RM; RR/SL; SG; WZ
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Merging turbulence,direct_limited_or_mixed,direct,3,S017; S057; S051,Guo et al. 2022; Lin Xiao 2018; Van Arem 2006,mixed_or_conditional,analytical/theoretical; simulation,Basic freeway or motorway segment; Lane drop; On-ramp merge,Bottleneck / local facility; Local road segment,other/unspecified; rule-based/control law,"2 manuscript-linked coded studies directly associate the application with this mechanism, but at least one reports negative/mixed or strongly conditional effects.",2,1,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; RM
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Physical spillback,direct_repeated,direct,2,S010; S071,Yu Du 2023; Daiquan Xiao 2022,positive_consistent,analytical/theoretical; simulation,Diverge / off-ramp bottleneck; Weaving section,Bottleneck / local facility; Network/system,optimal control; rule-based/control law; RL/MARL,Two manuscript-linked studies directly associate upstream speed/inflow regulation with preventing or reducing storage-limited queue spillback under simulation.,2,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; RM
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Shifted / redistributed congestion,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Lane assignment / lane-use control,Stop-and-go waves,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Lane assignment / lane-use control,String instability,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Lane assignment / lane-use control,Congestion onset / breakdown,direct_repeated,direct,4,S041; S048; S061; S068,M. Ramezani 2019; Hari Hara Sharan Nagalur Subraveti 2021; Yuanxiang Yang 2025; Kim et al. 2023,broadly_consistent,analytical/theoretical; simulation,Diverge / off-ramp bottleneck; Lane drop; On-ramp merge; Weaving section,Bottleneck / local facility; Network/system,game-theoretic; optimal control; other/unspecified; rule-based/control law,4 manuscript-linked studies directly associate lane assignment/lane-use control with this mechanism under the coded evidence base.,4,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; NET; RM; WV
Lane assignment / lane-use control,Capacity drop,direct_repeated,direct,4,S041; S048; S061; S068,M. Ramezani 2019; Hari Hara Sharan Nagalur Subraveti 2021; Yuanxiang Yang 2025; Kim et al. 2023,broadly_consistent,analytical/theoretical; simulation,Diverge / off-ramp bottleneck; Lane drop; On-ramp merge; Weaving section,Bottleneck / local facility; Network/system,game-theoretic; optimal control; other/unspecified; rule-based/control law,4 manuscript-linked studies directly associate lane assignment/lane-use control with this mechanism under the coded evidence base.,4,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; NET; RM; WV
Lane assignment / lane-use control,Queue formation / discharge,direct_repeated,direct,2,S061; S068,Yuanxiang Yang 2025; Kim et al. 2023,positive_consistent,analytical/theoretical; simulation,Diverge / off-ramp bottleneck; Lane drop; On-ramp merge,Bottleneck / local facility,game-theoretic; optimal control; rule-based/control law,Two manuscript-linked studies directly associate lane-use/lane-changing control with queue or discharge improvement under simulation.,2,0,Final manuscript-linked retained corpus and verified study-level coding,FB; LD; RM
Lane assignment / lane-use control,Lane-changing friction,direct_repeated,direct,4,S041; S048; S061; S068,M. Ramezani 2019; Hari Hara Sharan Nagalur Subraveti 2021; Yuanxiang Yang 2025; Kim et al. 2023,broadly_consistent,analytical/theoretical; simulation,Diverge / off-ramp bottleneck; Lane drop; On-ramp merge; Weaving section,Bottleneck / local facility; Network/system,game-theoretic; optimal control; other/unspecified; rule-based/control law,4 manuscript-linked studies directly associate lane assignment/lane-use control with this mechanism under the coded evidence base.,4,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; NET; RM; WV
Lane assignment / lane-use control,Merging turbulence,direct_limited_or_mixed,direct,1,S041,M. Ramezani 2019,limited,simulation,Diverge / off-ramp bottleneck; On-ramp merge,Bottleneck / local facility; Network/system,optimal control; rule-based/control law,One manuscript-linked coded study directly associates the application with this mechanism.,1,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; NET; RM
Lane assignment / lane-use control,Physical spillback,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Lane assignment / lane-use control,Shifted / redistributed congestion,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Cooperative merging / coordinated gap creation / ramp coordination,Stop-and-go waves,direct_limited_or_mixed,direct,7,S004; S005; S015; S027; S033; S042; S064,Yu Bai 2022; Danjue Chen 2021; Ziyuan Gu 2022; Ko et al. 2020; S. Nakka 2022; Rios-Torres and Malikopoulos 2017; Zhu et al. 2024,mixed_or_conditional,analytical/theoretical; simulation,On-ramp merge; Ring-road / single-lane testbed; Weaving section; Work zone / lane closure,Bottleneck / local facility; Network/system,MPC; RL/MARL; optimal control; other/unspecified,"6 manuscript-linked coded studies directly associate the application with this mechanism, but at least one reports negative/mixed or strongly conditional effects.",6,1,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; NET; RM; RR/SL; WV
Cooperative merging / coordinated gap creation / ramp coordination,String instability,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Cooperative merging / coordinated gap creation / ramp coordination,Congestion onset / breakdown,direct_repeated,direct,12,S001; S004; S005; S006; S007; S017; S023; S026; S027; S033; S042; S064,Majeed Algomaiah 2022; Yu Bai 2022; Danjue Chen 2021; Jieming Chen 2024; Sungyong Chung 2024; Guo et al. 2022; Hu 2019; M. Karimi 2020; Ko et al. 2020; S. Nakka 2022; Rios-Torres and Malikopoulos 2017; Zhu et al. 2024,broadly_consistent,analytical/theoretical; simulation,Basic freeway or motorway segment; Lane drop; On-ramp merge; Weaving section; Work zone / lane closure,Bottleneck / local facility,MPC; RL/MARL; optimal control; other/unspecified; rule-based/control law,12 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,12,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; NET; RM; RR/SL; WV; WZ
Cooperative merging / coordinated gap creation / ramp coordination,Capacity drop,direct_limited_or_mixed,direct,5,S001; S005; S007; S015; S064,Majeed Algomaiah 2022; Danjue Chen 2021; Sungyong Chung 2024; Ziyuan Gu 2022; Zhu et al. 2024,mixed_or_conditional,analytical/theoretical; simulation,Lane drop; On-ramp merge; Ring-road / single-lane testbed; Work zone / lane closure,Bottleneck / local facility; Network/system,optimal control; other/unspecified; rule-based/control law,"5 manuscript-linked coded studies directly associate the application with this mechanism, but at least one reports negative/mixed or strongly conditional effects.",5,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; NET; RM; RR/SL; WZ
Cooperative merging / coordinated gap creation / ramp coordination,Queue formation / discharge,direct_repeated,direct,3,S001; S007; S031,Majeed Algomaiah 2022; Sungyong Chung 2024; Lin Liu 2024,broadly_consistent,analytical/theoretical; simulation,Lane drop; On-ramp merge; Work zone / lane closure,Bottleneck / local facility,RL/MARL; optimal control; rule-based/control law,2 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,2,1,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; NET; RM; RR/SL; WZ
Cooperative merging / coordinated gap creation / ramp coordination,Lane-changing friction,direct_repeated,direct,9,S001; S004; S005; S007; S023; S026; S027; S031; S064,Majeed Algomaiah 2022; Yu Bai 2022; Danjue Chen 2021; Sungyong Chung 2024; Hu 2019; M. Karimi 2020; Ko et al. 2020; Lin Liu 2024; Zhu et al. 2024,broadly_consistent,analytical/theoretical; simulation,Lane drop; On-ramp merge; Weaving section; Work zone / lane closure,Bottleneck / local facility,MPC; RL/MARL; optimal control; other/unspecified; rule-based/control law,9 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,9,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; NET; RM; RR/SL; WV; WZ
Cooperative merging / coordinated gap creation / ramp coordination,Merging turbulence,direct_repeated,direct,6,S006; S017; S023; S026; S031; S033,Jieming Chen 2024; Guo et al. 2022; Hu 2019; M. Karimi 2020; Lin Liu 2024; S. Nakka 2022,broadly_consistent,analytical/theoretical; simulation,Basic freeway or motorway segment; On-ramp merge,Bottleneck / local facility,MPC; RL/MARL; optimal control; other/unspecified,6 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,6,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; RM; RR/SL
Cooperative merging / coordinated gap creation / ramp coordination,Physical spillback,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Cooperative merging / coordinated gap creation / ramp coordination,Shifted / redistributed congestion,indirect,indirect,1,S005,Danjue Chen 2021,limited,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,other/unspecified,"No direct standardized mechanism code was found, but 1 study/studies mention the mechanism in findings or limitations, indicating mediated or contextual influence.",0,1,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; RM
Integrated longitudinal–lateral bottleneck control,Stop-and-go waves,direct_repeated,direct,5,S002; S004; S027; S035; S049,Gihyeob An 2019; Yu Bai 2022; Ko et al. 2020; Pan et al. 2021; Mehrdad Tajalli 2022,broadly_consistent,analytical/theoretical; simulation,Basic freeway or motorway segment; Lane drop; On-ramp merge; Weaving section; Work zone / lane closure,Bottleneck / local facility; Vehicle string / platoon,MPC; RL/MARL; optimal control; rule-based/control law,5 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,5,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; RM; WV
Integrated longitudinal–lateral bottleneck control,String instability,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Integrated longitudinal–lateral bottleneck control,Congestion onset / breakdown,direct_limited_or_mixed,direct,11,S001; S004; S006; S018; S023; S027; S032; S039; S049; S059; S061,Majeed Algomaiah 2022; Yu Bai 2022; Jieming Chen 2024; Yuqing Guo 2020; Hu 2019; Ko et al. 2020; Wenqi Lu 2024; T. T. Phan 2020; Mehrdad Tajalli 2022; Longhao Yan 2025; Yuanxiang Yang 2025,mixed_or_conditional,analytical/theoretical; simulation,Diverge / off-ramp bottleneck; Lane drop; On-ramp merge; Weaving section; Work zone / lane closure,Bottleneck / local facility,MPC; RL/MARL; game-theoretic; optimal control; other/unspecified; rule-based/control law,"11 manuscript-linked coded studies directly associate the application with this mechanism, but at least one reports negative/mixed or strongly conditional effects.",11,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; RM; WV; WZ
Integrated longitudinal–lateral bottleneck control,Capacity drop,direct_limited_or_mixed,direct,9,S001; S018; S032; S039; S049; S059; S061; S063; S070,Majeed Algomaiah 2022; Yuqing Guo 2020; Wenqi Lu 2024; T. T. Phan 2020; Mehrdad Tajalli 2022; Longhao Yan 2025; Yuanxiang Yang 2025; Zhou 2022; Tajdari et al. 2022,mixed_or_conditional,analytical/theoretical; simulation,Basic freeway or motorway segment; Diverge / off-ramp bottleneck; Lane drop; On-ramp merge; Weaving section; Work zone / lane closure,Bottleneck / local facility; Local road segment,MPC; RL/MARL; game-theoretic; optimal control; other/unspecified; rule-based/control law,"8 direct supporting studies associate integrated longitudinal–lateral control with this mechanism; findings remain mixed or conditional across geometry, authority, and implementation assumptions.",8,1,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; RM; WV; WZ
Integrated longitudinal–lateral bottleneck control,Queue formation / discharge,direct_limited_or_mixed,direct,8,S001; S039; S049; S059; S061; S031; S063; S070,Majeed Algomaiah 2022; T. T. Phan 2020; Mehrdad Tajalli 2022; Longhao Yan 2025; Yuanxiang Yang 2025; Lin Liu 2024; Zhou 2022; Tajdari et al. 2022,mixed_or_conditional,analytical/theoretical; simulation,Basic freeway or motorway segment; Diverge / off-ramp bottleneck; Lane drop; On-ramp merge; Weaving section; Work zone / lane closure,Bottleneck / local facility; Local road segment,MPC; RL/MARL; game-theoretic; optimal control; other/unspecified; rule-based/control law,"6 direct supporting studies associate integrated longitudinal–lateral control with this mechanism; findings remain mixed or conditional across geometry, authority, and implementation assumptions.",6,2,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; RM; RR/SL; WV; WZ
Integrated longitudinal–lateral bottleneck control,Lane-changing friction,direct_limited_or_mixed,direct,15,S001; S002; S004; S018; S023; S027; S031; S032; S035; S039; S049; S059; S061; S063; S070,Majeed Algomaiah 2022; Gihyeob An 2019; Yu Bai 2022; Yuqing Guo 2020; Hu 2019; Ko et al. 2020; Lin Liu 2024; Wenqi Lu 2024; Pan et al. 2021; T. T. Phan 2020; Mehrdad Tajalli 2022; Longhao Yan 2025; Yuanxiang Yang 2025; Zhou 2022; Tajdari et al. 2022,mixed_or_conditional,analytical/theoretical; simulation,Basic freeway or motorway segment; Diverge / off-ramp bottleneck; Lane drop; On-ramp merge; Weaving section; Work zone / lane closure,Bottleneck / local facility; Local road segment; Vehicle string / platoon,MPC; RL/MARL; game-theoretic; optimal control; other/unspecified; rule-based/control law,"15 direct supporting studies associate integrated longitudinal–lateral control with this mechanism; findings remain mixed or conditional across geometry, authority, and implementation assumptions.",15,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; RM; RR/SL; WV; WZ
Integrated longitudinal–lateral bottleneck control,Merging turbulence,direct_repeated,direct,3,S006; S023; S031,Jieming Chen 2024; Hu 2019; Lin Liu 2024,broadly_consistent,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,RL/MARL; optimal control,3 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,3,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; RM; RR/SL
Integrated longitudinal–lateral bottleneck control,Physical spillback,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Integrated longitudinal–lateral bottleneck control,Shifted / redistributed congestion,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Platooning,Stop-and-go waves,indirect,indirect,1,S064,Zhu et al. 2024,limited,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,optimal control,"No direct standardized mechanism code was found, but 1 study/studies mention the mechanism in findings or limitations, indicating mediated or contextual influence.",0,1,Final manuscript-linked retained corpus and verified study-level coding,FB; RM; RR/SL
