study_id,corpus_id,manuscript_reference_number,citation_key,title,applications_assigned,direct_mechanisms,indirect_mechanism_mentions,finding_direction_flag,comparator_reference_condition,evidence_settings,facility_context,spatial_system_scale,design_methods,original_primary_theme,original_control_method_standardized,original_congestion_mechanism_standardized,legacy_facility_tags
S011,M018,18,Elmorshedy et al. 2023,Freeway Congestion Management With Reinforcement Learning Headway Control of Connected and Autonomous Vehicles,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Congestion onset / breakdown,,neutral,Nondynamic ACC headway-assignment strategies,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,RL/MARL,Direct bottleneck/congestion mitigation,RL/MARL; PPO; Headway control; Demand pacing,bottleneck activation; capacity loss; traffic breakdown; demand pacing,COR; FB; RM
S012,M019,19,A. Ghiasi 2019,A mixed traffic speed harmonization model with connected autonomous vehicles,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Congestion onset / breakdown; Stop-and-go waves,Lane-changing friction,positive,All-human-driver traffic,analytical/theoretical; simulation,Not clearly specified,Bottleneck / local facility,optimal control,Direct bottleneck/congestion mitigation,Trajectory optimization; speed harmonization; prediction-based control,Stop-and-go waves / flow stability; Bottleneck activation/throughput,COR; FB; RR/SL
S013,M020,20,Goñi-Ros et al. 2016,Optimization of traffic flow at freeway sags by controlling the acceleration of vehicles equipped with in-car systems,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Congestion onset / breakdown; Stop-and-go waves,Lane-changing friction,neutral,No controlled vehicles at the sag; basic ACC at matched controlled-vehicle positions; constant-gradient road without controlled vehicles (delay reference); control variants omitting the upstream supporting maneuver,analytical/theoretical; simulation,Sag curve,Bottleneck / local facility,optimal control,Direct bottleneck/congestion mitigation,Optimization/optimal control,Bottleneck activation/throughput; stop-and-go waves; sag-induced congestion,COR; FB; RR/SL; SG
S014,M021,21,Bernat Goñi-Ros 2019,Using advanced adaptive cruise control systems to reduce congestion at sags: An evaluation based on microscopic traffic simulation,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,Capacity drop; Congestion onset / breakdown; Queue formation / discharge; Stop-and-go waves,,positive,0% ACC / all-HDV sag traffic; basic ACC; traffic-state-adaptive ACC; cooperative ACC (pairwise controller comparisons); constant-gradient road with no ACC (delay reference),simulation,Sag curve,Bottleneck / local facility,rule-based/control law,Direct bottleneck/congestion mitigation,ACC/CACC; traffic-state-adaptive ACC; microscopic simulation,Sag bottleneck activation; capacity drop; queue formation/discharge; stop-and-go waves,COR; FB; SG
S015,M022,22,Ziyuan Gu 2022,Network traffic instability with automated driving and cooperative merging,Cooperative merging / coordinated gap creation / ramp coordination; Routing / dynamic traffic assignment / managed-lane operation,Capacity drop; Stop-and-go waves,,negative_or_mixed,Human-driven traffic; non-cooperative automated traffic; CAV traffic with cooperative merging,analytical/theoretical; simulation,Ring-road / single-lane testbed; On-ramp merge,Network/system,other/unspecified,Negative or mixed effects,Cooperative merging; CIDM/IDM/HDM microsimulation; NFD/MFD analysis; adaptive routing/signal comparison,Turning/merging-induced network instability; NFD bifurcation; capacity drop; stop-and-go waves / flow stability; network congestion distribution,NET; RM
S016,M023,23,Gunter et al. 2021,Are Commercially Implemented Adaptive Cruise Control Systems String Stable?,Traffic smoothing / mobile-actuator control,Stop-and-go waves; String instability,,negative_or_mixed,Lead-vehicle speed disturbance (reference for downstream amplification); alternative commercial ACC models and minimum/maximum following-gap settings,analytical/theoretical; field experiment; simulation,Ring-road / single-lane testbed,Vehicle string / platoon,rule-based/control law,Longitudinal control,ACC/CACC; Empirical calibration; String-stability analysis,Stop-and-go waves / flow stability; String instability; Phantom jams,RR/SL
S017,M024,24,Guo et al. 2022,Evaluating the Effectiveness of Integrated Connected Automated Vehicle Applications Applied to Freeway Managed Lanes,Cooperative merging / coordinated gap creation / ramp coordination; Platooning; Routing / dynamic traffic assignment / managed-lane operation; Speed harmonization / dynamic headway / bottleneck-inflow regulation,Congestion onset / breakdown; Merging turbulence,,positive,CACC alone; CACC with cooperative merging (before adding speed harmonization),simulation,Basic freeway or motorway segment; On-ramp merge,Bottleneck / local facility,other/unspecified,Longitudinal control; cooperative merging; speed harmonization; managed-lane/lane-use control,Simulation; CACC; cooperative merge; speed harmonization,Bottleneck activation/throughput; Network congestion distribution; Merging turbulence,COR; RM
S018,M025,25,Yuqing Guo 2020,Integrated Variable Speed Limits and Lane-Changing Control for Freeway Lane-Drop Bottlenecks,Integrated longitudinal–lateral bottleneck control; Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Congestion onset / breakdown; Lane-changing friction,,positive,No control; VSL-only control,analytical/theoretical; simulation,Lane drop,Bottleneck / local facility,MPC; rule-based/control law,Direct bottleneck/congestion mitigation,MPC; Genetic algorithm; VSL; Lane-changing control,Capacity drop; Bottleneck activation/throughput; Lane-changing friction / gaps,COR; FB; LD
S019,M026,26,Ha 2023,Leveraging vehicle connectivity and autonomy for highway bottleneck congestion mitigation using reinforcement learning,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Congestion onset / breakdown; Stop-and-go waves,,positive,Uncontrolled mixed traffic; conventional variable speed limit control,simulation,Lane drop,Bottleneck / local facility,RL/MARL,Direct bottleneck/congestion mitigation,RL/MARL; DDPG; Graph neural network; Speed harmonization,Bottleneck activation/throughput; speed oscillations; shockwave formation,COR; FB; LD
S020,M027,27,Youngjun Han 2020,Variable Speed Release (VSR): Speed Control to Increase Bottleneck Capacity,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Congestion onset / breakdown,,neutral,Not clearly reported,analytical/theoretical; simulation,Lane drop; On-ramp merge,Bottleneck / local facility,rule-based/control law,Direct bottleneck/congestion mitigation,Speed control; Variable Speed Release; complementary VSL or ramp metering,Bottleneck activation; stochastic breakdown; capacity drop,FB; LD
S021,M028,28,Yu Han 2021,A linear Lagrangian model predictive controller of macro- and micro- variable speed limits to eliminate freeway jam waves,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,Capacity drop; Congestion onset / breakdown; Stop-and-go waves,,neutral,No control; baseline model predictive control (MPC-B),analytical/theoretical; simulation,Basic freeway or motorway segment,Not clearly specified,MPC; rule-based/control law,Direct bottleneck/congestion mitigation,MPC; VSL/speed control; Hierarchical control,Stop-and-go waves / jam waves; Capacity drop; Bottleneck activation/throughput; Flow stability,COR; RR/SL
S022,M029,29,Kangning Hou 2023,Cooperative On-Ramp Merging Control Model for Mixed Traffic on Multi-Lane Freeways,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control,,,positive,CORMC strategy variants with and without anticipatory position searching; default SUMO traffic model,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,MPC,Direct bottleneck/congestion mitigation,Hierarchical cooperative control; anticipatory position searching; collaborative utility choice; cooperative merging control; MPC trajectory tracking,merging bottleneck; congestion wave propagation; throughput loss,COR; RM
S023,M030,30,Hu 2019,Trajectory optimization of connected and autonomous vehicles at a multilane freeway merging area,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control,Congestion onset / breakdown; Lane-changing friction; Merging turbulence,,positive,Cooperative merging control (CMC) alone,simulation,On-ramp merge,Bottleneck / local facility,optimal control,Direct bottleneck/congestion mitigation,Optimization/optimal control; Trajectory optimization; Cooperative merging control,Bottleneck activation/throughput; merging turbulence; lane-changing friction,FB; RM
S024,M031,31,Chengying Hua 2023,Dynamic speed harmonization for mixed traffic flow on the freeway using deep reinforcement learning,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Congestion onset / breakdown; Stop-and-go waves,,positive,No-control condition,simulation,Weaving section,Bottleneck / local facility,RL/MARL; rule-based/control law,Direct bottleneck/congestion mitigation,RL/MARL; DDPG; Speed harmonization / VSL,Bottleneck activation/throughput; Stop-and-go waves / flow stability; Speed breakdown / shockwaves,COR; FB; WV
S025,M032,32,Hung and Zhang 2022,Impact of Cooperative Adaptive Cruise Control on Traffic Stability,Traffic smoothing / mobile-actuator control,Stop-and-go waves,String instability,neutral,Connected-vehicle traffic; automated-vehicle traffic (CACC comparisons under low HDV shares),analytical/theoretical,Not facility-specific,Vehicle string / platoon,rule-based/control law,Longitudinal control,ACC/CACC; control-theoretic stability analysis,Stop-and-go waves / flow stability,
S026,M034,35,M. Karimi 2020,Cooperative merging control via trajectory optimization in mixed vehicular traffic,Cooperative merging / coordinated gap creation / ramp coordination,Congestion onset / breakdown; Lane-changing friction; Merging turbulence,,neutral,Not clearly reported,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,MPC; optimal control,Direct bottleneck/congestion mitigation,MPC; Optimization/optimal control,Merging turbulence; Lane-changing friction / gaps; Bottleneck activation/throughput,FB; RM
S027,M036,38,Ko et al. 2020,Speed harmonisation and merge control using connected automated vehicles on a highway lane closure: a reinforcement learning approach,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control; Speed harmonization / dynamic headway / bottleneck-inflow regulation,Congestion onset / breakdown; Lane-changing friction; Stop-and-go waves,,positive,Late-merge control without speed harmonization,simulation,Work zone / lane closure,Bottleneck / local facility,RL/MARL,Direct bottleneck/congestion mitigation,RL/MARL; DQN; speed harmonization; merge control,Bottleneck activation/throughput; Lane-changing friction / gaps; Stop-and-go waves,FB; LD
S028,M037,39,Kreidieh 2018,Dissipating stop-and-go waves in closed and open networks via deep reinforcement learning,Traffic smoothing / mobile-actuator control,Congestion onset / breakdown; Stop-and-go waves,,neutral,0% CAV / all-human IDM traffic; straight-network RL trained from random initialization,analytical/theoretical; simulation,Ring-road / single-lane testbed; On-ramp merge; Basic freeway or motorway segment,Local road segment,RL/MARL,Direct bottleneck/congestion mitigation,Deep RL / TRPO with transfer learning,Stop-and-go waves / flow stability; bottleneck activation / throughput loss,RM; RR/SL
S029,M038,40,K. Kušić 2020,Extended Variable Speed Limit control using Multi-agent Reinforcement Learning,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,Congestion onset / breakdown; Stop-and-go waves,,positive,No VSL control; single-agent VSL; two independent VSL agents,simulation,Not clearly specified,Bottleneck / local facility,RL/MARL; rule-based/control law,Traffic smoothing and speed harmonization,RL/MARL; VSL/speed control,Bottleneck activation/throughput; Stop-and-go waves / flow stability,FB
S030,M042,44,Zhibin Li 2017,Reinforcement Learning-Based Variable Speed Limit Control Strategy to Reduce Traffic Congestion at Freeway Recurrent Bottlenecks,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Congestion onset / breakdown,,neutral,Feedback-based VSL control,simulation,On-ramp merge,Bottleneck / local facility,RL/MARL; rule-based/control law,Direct bottleneck/congestion mitigation,RL/MARL; VSL/speed control,Bottleneck activation/throughput; Capacity drop; travel-time reduction,COR; FB
S031,M044,46,Lin Liu 2024,Reinforcement-Learning-Based Multilane Cooperative Control for On-Ramp Merging in Mixed-Autonomy Traffic,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control,Lane-changing friction; Merging turbulence,Queue formation / discharge,neutral,D3QN; PPO; GCQ,simulation,On-ramp merge,Bottleneck / local facility,RL/MARL,Direct bottleneck/congestion mitigation,Graph MARL; PPO; GCN; cooperative lane-changing reward,Merge bottleneck; lane-changing friction; merging turbulence; travel-time delay,RM; RR/SL
S032,M045,47,Wenqi Lu 2024,Improving Traffic Operation of Bottleneck in a Connected and Automated Vehicles Environment: An Integrated Lane-Level Control Method,Integrated longitudinal–lateral bottleneck control; Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Congestion onset / breakdown; Lane-changing friction,,positive,No-control strategy,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,RL/MARL; rule-based/control law,Direct bottleneck/congestion mitigation,RL/MARL; DDPG; VSL/speed control; lane selection; dynamic programming; short-term traffic prediction,Bottleneck activation/throughput; capacity drop; lane-changing friction; traffic flow imbalance,COR; FB; RM
S033,M048,51,S. Nakka 2022,A Multi-Agent Deep Reinforcement Learning Coordination Framework for Connected and Automated Vehicles at Merging Roadways,Cooperative merging / coordinated gap creation / ramp coordination,Congestion onset / breakdown; Merging turbulence; Stop-and-go waves,,neutral,Not clearly reported,simulation,On-ramp merge,Bottleneck / local facility,RL/MARL,Cooperative CAV merging control,RL/MARL; decentralized actor-critic; MDDPG,Bottleneck activation/throughput; stop-and-go waves / flow stability; merging conflict,RM; RR/SL
S034,M050,53,Sinan Öncü 2014,Cooperative Adaptive Cruise Control: Network-Aware Analysis of String Stability,Traffic smoothing / mobile-actuator control,Stop-and-go waves; String instability,,neutral,Not applicable,analytical/theoretical; test track,Ring-road / single-lane testbed,Vehicle string / platoon,rule-based/control law,Longitudinal control,Networked control; ACC/CACC,Stop-and-go waves / flow stability; String instability,
S035,M051,54,Pan et al. 2021,Integrated optimal control strategies for freeway traffic mixed with connected automated vehicles: A model-based reinforcement learning approach,Integrated longitudinal–lateral bottleneck control; Speed harmonization / dynamic headway / bottleneck-inflow regulation,Lane-changing friction; Stop-and-go waves,,neutral,No optimal control; integrated control without ramp metering,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,optimal control; rule-based/control law,Direct bottleneck/congestion mitigation,Model-based RL; Cross-entropy method; Optimization/optimal control; VSL/speed control; Ramp metering; Lane-changing control,bottleneck queuing; shockwaves; lane-changing friction; traffic flow instability,COR; FB; RM
S036,M053,56,Papacharalampous et al. 2015,Mitigating Congestion at Sags with Adaptive Cruise Control Systems,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,Capacity drop; Congestion onset / breakdown; Queue formation / discharge; Stop-and-go waves,,neutral,Basic ACC; cooperative ACC (comparisons with traffic-state-adaptive ACC),simulation,Sag curve,Vehicle string / platoon; Bottleneck / local facility,rule-based/control law,Direct bottleneck/congestion mitigation,ACC/CACC; traffic-state-adaptive headway control; V2V multi-anticipation,Bottleneck activation/throughput; capacity drop; queue discharge; stop-and-go waves / flow stability,FB; RR/SL; SG
S037,M054,57,Georgia Perraki 2018,Evaluation of a model predictive control framework for motorway traffic involving conventional and automated vehicles,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Congestion onset / breakdown; Lane-changing friction,,neutral,No-control calibrated A20 motorway case,analytical/theoretical; simulation,Lane drop; On-ramp merge,Corridor,MPC; rule-based/control law,Direct bottleneck/congestion mitigation,MPC; VSL/MTFC; Ramp metering; Lane-changing control,Capacity drop; Bottleneck activation/throughput; Network congestion distribution; Lane-changing friction / gaps,COR; FB; LD; NET; RM
S038,M055,58,Perrine 2020,Anticipating long-distance travel shifts due to self-driving vehicles,Routing / dynamic traffic assignment / managed-lane operation,Shifted / redistributed congestion,,negative_or_mixed,Existing rJourney model without an AV mode; traditional-car and airline alternatives,network/demand model,Not facility-specific,Network/system,other/unspecified,Negative or mixed effects,Travel-demand modeling,Induced demand / mode shift,NET
S039,M056,59,T. T. Phan 2020,A Cooperative Space Distribution Method for Autonomous Vehicles at A Lane-Drop Bottleneck on Multi-Lane Freeways,Integrated longitudinal–lateral bottleneck control; Platooning,Capacity drop; Congestion onset / breakdown; Lane-changing friction; Queue formation / discharge,,neutral,Non-cooperative velocity method; cooperative velocity method; alternative CSDM variants,analytical/theoretical; simulation,Lane drop,Bottleneck / local facility,other/unspecified,Direct bottleneck/congestion mitigation,Cooperative trajectory planning / space distribution / platoon-based lane-change control,Bottleneck activation/throughput; capacity drop; queue formation; lane-changing friction / gaps,FB; LD
S040,M057,60,Qin and Wang 2021,Stabilizing mixed cooperative adaptive cruise control traffic flow to balance capacity using car-following model,Traffic smoothing / mobile-actuator control,Stop-and-go waves,String instability,neutral,Not applicable,analytical/theoretical; simulation,Ring-road / single-lane testbed,Vehicle string / platoon,rule-based/control law,Longitudinal control,ACC/CACC; car-following/string-stability analysis,Stop-and-go waves / flow stability; capacity balance,RR/SL
S041,M058,61,M. Ramezani 2019,Lane density optimisation of automated vehicles for highway congestion control,Lane assignment / lane-use control,Capacity drop; Congestion onset / breakdown; Lane-changing friction; Merging turbulence,,positive,Ramp-metering strategy,simulation,On-ramp merge; Diverge / off-ramp bottleneck,Bottleneck / local facility; Network/system,optimal control; rule-based/control law,Direct bottleneck/congestion mitigation,Optimization/optimal control; Rule-based advisory,Congestion onset; Capacity drop; Lane-changing friction / merging turbulence; Bottleneck activation/throughput,COR; FB; NET; RM
S042,M060,63,Rios-Torres and Malikopoulos 2017,Automated and cooperative vehicle merging at highway on-ramps,Cooperative merging / coordinated gap creation / ramp coordination,Congestion onset / breakdown; Stop-and-go waves,,neutral,Mainline-priority merging with secondary-road vehicles stopping before entering the merge,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,optimal control,Direct bottleneck/congestion mitigation,Optimization/optimal control,Bottleneck activation/throughput; Stop-and-go waves / flow stability,COR; RM
S043,M061,64,C. Roncoli 2019,Integrated optimal traffic flow control enabled by speed and time-gap regulation,Routing / dynamic traffic assignment / managed-lane operation; Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Congestion onset / breakdown,,positive,Conventional traffic-control strategies,analytical/theoretical; simulation,Ring-road / single-lane testbed; On-ramp merge; Diverge / off-ramp bottleneck,Network/system,optimal control,Direct bottleneck/congestion mitigation,Convex optimal control; Speed/time-gap regulation; Ramp metering; Variable speed limits,Capacity drop; bottleneck activation; ramp queues; traffic efficiency loss,NET; RM; RR/SL
S044,M062,65,C. Roncoli 2015,Model Predictive Control for Motorway Traffic with Mixed Manual and VACS-equipped Vehicles☆,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Congestion onset / breakdown; Lane-changing friction; Queue formation / discharge,,neutral,No-control case,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,MPC; optimal control; rule-based/control law,Direct bottleneck/congestion mitigation,MPC; Optimization/optimal control; Ramp metering; VSL/speed control; Lane-changing control,Capacity drop; Bottleneck activation/throughput; Lane-changing friction / gaps; Queue formation/discharge,COR; FB; RM
S045,M063,66,Rossi 2018,Routing autonomous vehicles in congested transportation networks: structural properties and coordination algorithms,Routing / dynamic traffic assignment / managed-lane operation,,Physical spillback,negative_or_mixed,State-of-the-art point-to-point routing methods,analytical/theoretical; network/demand model; simulation,Not facility-specific,Network/system,optimal control,Network routing,Optimization/optimal control,Network congestion distribution,NET
S046,M064,67,Mingfeng Shang 2021,Impacts of commercially available adaptive cruise control vehicles on highway stability and throughput,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,String instability,Lane-changing friction,negative_or_mixed,Homogeneous human-driven traffic; theoretical ACC traffic; commercially available ACC traffic,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,other/unspecified,Negative or mixed effects,ACC car-following simulation; string stability analysis,String instability; bottleneck capacity loss; throughput reduction,COR; RM
S047,M065,68,S. Shladover 2012,Impacts of Cooperative Adaptive Cruise Control on Freeway Traffic Flow,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,Congestion onset / breakdown; Stop-and-go waves,Lane-changing friction,neutral,ACC-equipped traffic (comparison with CACC across penetration scenarios),field experiment; simulation,Basic freeway or motorway segment,Not clearly specified,rule-based/control law,Direct bottleneck/congestion mitigation,ACC/CACC; V2V cooperative following,Bottleneck activation/throughput; Capacity improvement; Stop-and-go waves / flow stability,COR
S048,M068,71,Hari Hara Sharan Nagalur Subraveti 2021,On lane assignment of connected automated vehicles: strategies to improve traffic flow at diverge and weave bottlenecks,Lane assignment / lane-use control,Capacity drop; Congestion onset / breakdown; Lane-changing friction,,neutral,No CAV lane assignment,analytical/theoretical; simulation,Diverge / off-ramp bottleneck; Weaving section,Bottleneck / local facility,other/unspecified,Direct bottleneck/congestion mitigation,Strategic lane assignment / destination-based CAV lane-use control,Bottleneck activation/throughput; lane-changing friction / gaps; capacity drop; void creation,FB; WV
S049,M069,72,Mehrdad Tajalli 2022,Distributed cooperative trajectory and lane changing optimization of connected automated vehicles: Freeway segments with lane drop,Integrated longitudinal–lateral bottleneck control,Capacity drop; Congestion onset / breakdown; Lane-changing friction; Queue formation / discharge; Stop-and-go waves,,neutral,Vissim all-knowing CAV benchmark,analytical/theoretical; simulation,Lane drop,Bottleneck / local facility,MPC; optimal control,Direct bottleneck/congestion mitigation,Optimization/optimal control; Distributed cooperative MPC; Mixed-integer programming,Bottleneck activation/throughput; Capacity drop; Lane-changing friction / gaps; Stop-and-go waves / flow stability; Queue formation/discharge,COR; FB; LD
S050,M070,74,Talebpour 2016,Influence of connected and autonomous vehicles on traffic flow stability and throughput,Traffic smoothing / mobile-actuator control,Congestion onset / breakdown; Stop-and-go waves; String instability,,positive,All-human-driven traffic; connected-vehicle traffic; mixed autonomous/connected/human-driven traffic across penetration rates,analytical/theoretical; simulation,Ring-road / single-lane testbed; On-ramp merge,Vehicle string / platoon; Bottleneck / local facility,other/unspecified,Direct bottleneck/congestion mitigation,Analytical stability analysis; Microsimulation,Bottleneck activation/throughput; Stop-and-go waves / flow stability; String instability; Shockwave propagation,RM; RR/SL
S051,M073,77,Van Arem 2006,The Impact of Cooperative Adaptive Cruise Control on Traffic-Flow Characteristics,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,Congestion onset / breakdown; Lane-changing friction; Stop-and-go waves,Merging turbulence,positive,Merging traffic without CACC-equipped vehicles,simulation,Lane drop,Bottleneck / local facility,rule-based/control law,Longitudinal control,ACC/CACC,Bottleneck activation/throughput; Stop-and-go waves / flow stability; Lane-changing friction / gaps,LD
